Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€17.3676 hourly,€8.3152 hourly,€22.3913 hourly,€13.3389 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€4.3419 hourly,€2.0788 hourly,€5.5978 hourly,€3.3347 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€8.6838 hourly,€4.1576 hourly,€11.1956 hourly,€6.6694 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.4505 hourly,€0.6069 hourly,€2.0785 hourly,€1.2349 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€2.901 hourly,€1.2138 hourly,€4.1569 hourly,€2.4697 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€5.802 hourly,€2.4276 hourly,€8.3138 hourly,€4.9395 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€8.9525 hourly,€3.768 hourly,€13.3482 hourly,€8.1637 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€17.9051 hourly,€7.536 hourly,€26.6965 hourly,€16.3274 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€2.2381 hourly,€0.942 hourly,€3.3371 hourly,€2.0409 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€4.4763 hourly,€1.884 hourly,€6.6741 hourly,€4.0818 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€16.1584 hourly,€6.6503 hourly,€20.5541 hourly,€11.046 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€32.3169 hourly,€13.3007 hourly,€41.1083 hourly,€22.0921 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€8.0792 hourly,€3.3252 hourly,€10.2771 hourly,€5.523 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.4836 hourly,€0.1018 hourly,€1.1115 hourly,€0.7298 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0604 hourly,€0.0127 hourly,€0.1389 hourly,€0.0912 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€0.9672 hourly,€0.2036 hourly,€2.2231 hourly,€1.4595 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1209 hourly,€0.0255 hourly,€0.2779 hourly,€0.1824 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€1.9343 hourly,€0.4072 hourly,€4.4462 hourly,€2.9191 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2418 hourly,€0.0509 hourly,€0.5558 hourly,€0.3649 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€2.9015 hourly,€0.6108 hourly,€6.6692 hourly,€4.3786 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.8075 hourly,€0.17 hourly,€1.4354 hourly,€0.798 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1009 hourly,€0.0212 hourly,€0.1794 hourly,€0.0997 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.615 hourly,€0.34 hourly,€2.8709 hourly,€1.5959 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2019 hourly,€0.0425 hourly,€0.3589 hourly,€0.1995 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.23 hourly,€0.68 hourly,€5.7418 hourly,€3.1918 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4037 hourly,€0.085 hourly,€0.7177 hourly,€0.399 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€4.8449 hourly,€1.02 hourly,€8.6127 hourly,€4.7877 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€7.7717 hourly,€1.6361 hourly,€11.5394 hourly,€5.4039 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0405 hourly,€0.0085 hourly,€0.0798 hourly,€0.0478 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.6484 hourly,€0.1365 hourly,€1.2764 hourly,€0.7645 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.0811 hourly,€0.0171 hourly,€0.1595 hourly,€0.0956 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.2969 hourly,€0.273 hourly,€2.5528 hourly,€1.5289 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.1621 hourly,€0.0341 hourly,€0.3191 hourly,€0.1911 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€2.5937 hourly,€0.546 hourly,€5.1055 hourly,€3.0579 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3242 hourly,€0.0683 hourly,€0.6382 hourly,€0.3822 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€3.8906 hourly,€0.8191 hourly,€7.6583 hourly,€4.5868 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€18.2114 hourly,€3.834 hourly,€24.491 hourly,€10.1136 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€4.5529 hourly,€0.9585 hourly,€6.1227 hourly,€2.5284 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€9.1057 hourly,€1.917 hourly,€12.2455 hourly,€5.0568 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.446 hourly,€0.1294 hourly,€1.0739 hourly,€0.7574 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0557 hourly,€0.0162 hourly,€0.1342 hourly,€0.0947 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€0.892 hourly,€0.2588 hourly,€2.1479 hourly,€1.5147 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1115 hourly,€0.0324 hourly,€0.2685 hourly,€0.1893 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€1.338 hourly,€0.3882 hourly,€3.2218 hourly,€2.2721 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€1.784 hourly,€0.5177 hourly,€4.2958 hourly,€3.0295 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.223 hourly,€0.0647 hourly,€0.537 hourly,€0.3787 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€2.2299 hourly,€0.6471 hourly,€5.3697 hourly,€3.7868 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€2.6759 hourly,€0.7765 hourly,€6.4437 hourly,€4.5442 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€4.2331 hourly,€1.7386 hourly,€9.2567 hourly,€6.7623 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.5472 hourly,€0.2364 hourly,€1.1752 hourly,€0.8644 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.0684 hourly,€0.0296 hourly,€0.1469 hourly,€0.108 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€1.0944 hourly,€0.4729 hourly,€2.3503 hourly,€1.7288 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.1368 hourly,€0.0591 hourly,€0.2938 hourly,€0.2161 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€1.6416 hourly,€0.7093 hourly,€3.5255 hourly,€2.5932 hourly
