Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 Standard 192,c4-standard-192,720 GiB,192,€9.3736 hourly,€3.7493 hourly,€16.909 hourly,€11.2848 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€9.3736 hourly,€3.7493 hourly,€16.909 hourly,€11.2848 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0957 hourly,€0.0383 hourly,€0.1742 hourly,€0.1168 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.1717 hourly,€0.4687 hourly,€2.1136 hourly,€1.4106 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.1717 hourly,€0.4687 hourly,€2.1136 hourly,€1.4106 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€14.0603 hourly,€5.6239 hourly,€25.3636 hourly,€16.9271 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€14.0603 hourly,€5.6239 hourly,€25.3636 hourly,€16.9271 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€14.0603 hourly,€5.6239 hourly,€25.3636 hourly,€16.9271 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€14.0603 hourly,€5.6239 hourly,€25.3636 hourly,€16.9271 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.5623 hourly,€0.6249 hourly,€2.8182 hourly,€1.8808 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.5623 hourly,€0.6249 hourly,€2.8182 hourly,€1.8808 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1953 hourly,€0.0781 hourly,€0.3523 hourly,€0.2351 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1953 hourly,€0.0781 hourly,€0.3523 hourly,€0.2351 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.3434 hourly,€0.9373 hourly,€4.2273 hourly,€2.8212 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.3434 hourly,€0.9373 hourly,€4.2273 hourly,€2.8212 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.3906 hourly,€0.1562 hourly,€0.7045 hourly,€0.4702 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.3906 hourly,€0.1562 hourly,€0.7045 hourly,€0.4702 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.6868 hourly,€1.8746 hourly,€8.4545 hourly,€5.6424 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.6868 hourly,€1.8746 hourly,€8.4545 hourly,€5.6424 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.391 hourly,€0.1564 hourly,€1.0189 hourly,€0.7843 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0489 hourly,€0.0195 hourly,€0.1274 hourly,€0.098 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.782 hourly,€0.3127 hourly,€2.0379 hourly,€1.5686 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0977 hourly,€0.0391 hourly,€0.2547 hourly,€0.1961 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1955 hourly,€0.0782 hourly,€0.5095 hourly,€0.3922 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.7145 hourly,€0.2857 hourly,€1.3424 hourly,€0.9137 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0893 hourly,€0.0357 hourly,€0.1678 hourly,€0.1142 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1786 hourly,€0.0714 hourly,€0.3356 hourly,€0.2284 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3572 hourly,€0.1429 hourly,€0.6712 hourly,€0.4569 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0546 hourly,€0.0219 hourly,€0.1331 hourly,€0.1004 hourly
E2 Micro,e2-micro,1 GiB,2,€0.046 hourly,€0.0184 hourly,€0.1245 hourly,€0.0969 hourly
E2 Small,e2-small,2 GiB,2,€0.0489 hourly,€0.0195 hourly,€0.1274 hourly,€0.098 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5296 hourly,€0.2118 hourly,€1.1576 hourly,€0.8398 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0662 hourly,€0.0265 hourly,€0.1447 hourly,€0.105 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.0592 hourly,€0.4236 hourly,€2.3151 hourly,€1.6795 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1324 hourly,€0.053 hourly,€0.2894 hourly,€0.2099 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2648 hourly,€0.1059 hourly,€0.5788 hourly,€0.4199 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.4351 hourly,€0.1106 hourly,€0.906 hourly,€0.5815 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.5801 hourly,€0.1474 hourly,€1.208 hourly,€0.7754 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.8701 hourly,€0.2211 hourly,€1.812 hourly,€1.163 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.1602 hourly,€0.2948 hourly,€2.4161 hourly,€1.5507 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.145 hourly,€0.0369 hourly,€0.302 hourly,€0.1938 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.7402 hourly,€0.4422 hourly,€3.6241 hourly,€2.3261 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.29 hourly,€0.0737 hourly,€0.604 hourly,€0.3877 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.4805 hourly,€0.8844 hourly,€7.2482 hourly,€4.6522 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€4.8641 hourly,€1.7363 hourly,€8.3179 hourly,€5.1901 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€10.275 hourly,€1.848 hourly,€15.2987 hourly,€6.8717 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€5.1375 hourly,€0.924 hourly,€7.6493 hourly,€3.4358 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€20.11 hourly,€3.1271 hourly,€25.1336 hourly,€8.1508 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€5.0275 hourly,€0.7818 hourly,€6.2834 hourly,€2.0377 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€10.055 hourly,€1.5636 hourly,€12.5668 hourly,€4.0754 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.5692 hourly,€0.5585 hourly,€2.1972 hourly,€1.1864 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€3.1384 hourly,€1.1169 hourly,€4.3943 hourly,€2.3728 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€6.2768 hourly,€2.2339 hourly,€8.7886 hourly,€4.7457 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€9.4471 hourly,€3.4884 hourly,€13.8428 hourly,€7.8841 hourly
