Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 48,c4-highmem-48,372 GiB,48,€2.9388 hourly,€1.1754 hourly,€4.8226 hourly,€3.0593 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€2.9388 hourly,€1.1754 hourly,€4.8226 hourly,€3.0593 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.4898 hourly,€0.1959 hourly,€0.8038 hourly,€0.5099 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.4898 hourly,€0.1959 hourly,€0.8038 hourly,€0.5099 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€5.8775 hourly,€2.3509 hourly,€9.6453 hourly,€6.1186 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€5.8775 hourly,€2.3509 hourly,€9.6453 hourly,€6.1186 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€6.6853 hourly,€2.674 hourly,€12.3369 hourly,€8.3256 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€6.6853 hourly,€2.674 hourly,€12.3369 hourly,€8.3256 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.7428 hourly,€0.2971 hourly,€1.3708 hourly,€0.9251 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.7428 hourly,€0.2971 hourly,€1.3708 hourly,€0.9251 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€8.9137 hourly,€3.5654 hourly,€16.4492 hourly,€11.1008 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€8.9137 hourly,€3.5654 hourly,€16.4492 hourly,€11.1008 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.091 hourly,€0.0364 hourly,€0.1695 hourly,€0.1149 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.1142 hourly,€0.4457 hourly,€2.0562 hourly,€1.3876 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.1142 hourly,€0.4457 hourly,€2.0562 hourly,€1.3876 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€13.3706 hourly,€5.348 hourly,€24.6738 hourly,€16.6513 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€13.3706 hourly,€5.348 hourly,€24.6738 hourly,€16.6513 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€13.3706 hourly,€5.348 hourly,€24.6738 hourly,€16.6513 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€13.3706 hourly,€5.348 hourly,€24.6738 hourly,€16.6513 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.4856 hourly,€0.5942 hourly,€2.7415 hourly,€1.8501 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.4856 hourly,€0.5942 hourly,€2.7415 hourly,€1.8501 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1857 hourly,€0.0743 hourly,€0.3427 hourly,€0.2313 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1857 hourly,€0.0743 hourly,€0.3427 hourly,€0.2313 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.2284 hourly,€0.8913 hourly,€4.1123 hourly,€2.7752 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.2284 hourly,€0.8913 hourly,€4.1123 hourly,€2.7752 hourly
