Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 32,c4-highmem-32,248 GiB,32,€2.0996 hourly,€0.7138 hourly,€3.3555 hourly,€1.9697 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€2.0996 hourly,€0.7138 hourly,€3.3555 hourly,€1.9697 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.2624 hourly,€0.0892 hourly,€0.4194 hourly,€0.2462 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.2624 hourly,€0.0892 hourly,€0.4194 hourly,€0.2462 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€3.1493 hourly,€1.0707 hourly,€5.0332 hourly,€2.9546 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€3.1493 hourly,€1.0707 hourly,€5.0332 hourly,€2.9546 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.5249 hourly,€0.1785 hourly,€0.8389 hourly,€0.4924 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.5249 hourly,€0.1785 hourly,€0.8389 hourly,€0.4924 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€6.2987 hourly,€2.1415 hourly,€10.0664 hourly,€5.9092 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€6.2987 hourly,€2.1415 hourly,€10.0664 hourly,€5.9092 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€7.1644 hourly,€2.4357 hourly,€12.816 hourly,€8.0873 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€7.1644 hourly,€2.4357 hourly,€12.816 hourly,€8.0873 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.796 hourly,€0.2706 hourly,€1.424 hourly,€0.8986 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.796 hourly,€0.2706 hourly,€1.424 hourly,€0.8986 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€9.5525 hourly,€3.2476 hourly,€17.0879 hourly,€10.7831 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€9.5525 hourly,€3.2476 hourly,€17.0879 hourly,€10.7831 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0975 hourly,€0.0332 hourly,€0.176 hourly,€0.1116 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.1941 hourly,€0.406 hourly,€2.136 hourly,€1.3479 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.1941 hourly,€0.406 hourly,€2.136 hourly,€1.3479 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€14.3287 hourly,€4.8714 hourly,€25.6319 hourly,€16.1747 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€14.3287 hourly,€4.8714 hourly,€25.6319 hourly,€16.1747 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€14.3287 hourly,€4.8714 hourly,€25.6319 hourly,€16.1747 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€14.3287 hourly,€4.8714 hourly,€25.6319 hourly,€16.1747 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.5921 hourly,€0.5413 hourly,€2.848 hourly,€1.7972 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.5921 hourly,€0.5413 hourly,€2.848 hourly,€1.7972 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.199 hourly,€0.0677 hourly,€0.356 hourly,€0.2246 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.199 hourly,€0.0677 hourly,€0.356 hourly,€0.2246 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.3881 hourly,€0.8119 hourly,€4.272 hourly,€2.6958 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.3881 hourly,€0.8119 hourly,€4.272 hourly,€2.6958 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.398 hourly,€0.1353 hourly,€0.712 hourly,€0.4493 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.398 hourly,€0.1353 hourly,€0.712 hourly,€0.4493 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.7762 hourly,€1.6238 hourly,€8.544 hourly,€5.3916 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.7762 hourly,€1.6238 hourly,€8.544 hourly,€5.3916 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3984 hourly,€0.0988 hourly,€1.0264 hourly,€0.7267 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0498 hourly,€0.0123 hourly,€0.1283 hourly,€0.0908 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.7969 hourly,€0.1975 hourly,€2.0528 hourly,€1.4534 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0996 hourly,€0.0247 hourly,€0.2566 hourly,€0.1817 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1992 hourly,€0.0494 hourly,€0.5132 hourly,€0.3634 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.7281 hourly,€0.1805 hourly,€1.3561 hourly,€0.8084 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.091 hourly,€0.0226 hourly,€0.1695 hourly,€0.1011 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.182 hourly,€0.0451 hourly,€0.339 hourly,€0.2021 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.364 hourly,€0.0902 hourly,€0.678 hourly,€0.4042 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0557 hourly,€0.0138 hourly,€0.1342 hourly,€0.0923 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0469 hourly,€0.0116 hourly,€0.1254 hourly,€0.0901 hourly
E2 Small,e2-small,2 GiB,2,€0.0498 hourly,€0.0123 hourly,€0.1283 hourly,€0.0908 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5397 hourly,€0.1338 hourly,€1.1677 hourly,€0.7617 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0675 hourly,€0.0167 hourly,€0.146 hourly,€0.0952 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.0794 hourly,€0.2676 hourly,€2.3354 hourly,€1.5235 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1349 hourly,€0.0334 hourly,€0.2919 hourly,€0.1904 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2699 hourly,€0.0669 hourly,€0.5838 hourly,€0.3809 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.1717 hourly,€0.1194 hourly,€0.6426 hourly,€0.5904 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.2289 hourly,€0.1592 hourly,€0.8568 hourly,€0.7872 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.3433 hourly,€0.2389 hourly,€1.2853 hourly,€1.1808 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€0.4578 hourly,€0.3185 hourly,€1.7137 hourly,€1.5744 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.0572 hourly,€0.0398 hourly,€0.2142 hourly,€0.1968 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€0.6866 hourly,€0.4777 hourly,€2.5705 hourly,€2.3616 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.1144 hourly,€0.0796 hourly,€0.4284 hourly,€0.3936 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€1.3733 hourly,€0.9555 hourly,€5.141 hourly,€4.7232 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€4.957 hourly,€1.8356 hourly,€8.4107 hourly,€5.2894 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€14.5073 hourly,€2.6064 hourly,€19.5309 hourly,€7.63 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€7.2536 hourly,€1.3032 hourly,€9.7655 hourly,€3.815 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€24.5299 hourly,€4.4101 hourly,€29.5536 hourly,€9.4337 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€6.1325 hourly,€1.1025 hourly,€7.3884 hourly,€2.3584 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€12.265 hourly,€2.205 hourly,€14.7768 hourly,€4.7169 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.1778 hourly,€0.5371 hourly,€1.8058 hourly,€1.1651 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€2.3556 hourly,€1.0743 hourly,€3.6115 hourly,€2.3302 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€4.7113 hourly,€2.1486 hourly,€7.2231 hourly,€4.6604 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€7.1042 hourly,€3.3721 hourly,€11.4999 hourly,€7.7678 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€14.2084 hourly,€6.7443 hourly,€22.9998 hourly,€15.5357 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€1.7761 hourly,€0.843 hourly,€2.875 hourly,€1.942 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€3.5521 hourly,€1.6861 hourly,€5.75 hourly,€3.8839 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€13.9472 hourly,€5.6992 hourly,€18.3428 hourly,€10.0949 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€27.8943 hourly,€11.3985 hourly,€36.6857 hourly,€20.1899 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€6.9736 hourly,€2.8496 hourly,€9.1714 hourly,€5.0475 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.5706 hourly,€0.1022 hourly,€1.1986 hourly,€0.7301 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0713 hourly,€0.0128 hourly,€0.1498 hourly,€0.0913 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.1413 hourly,€0.2044 hourly,€2.3972 hourly,€1.4603 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1427 hourly,€0.0255 hourly,€0.2996 hourly,€0.1825 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€2.2825 hourly,€0.4087 hourly,€4.7943 hourly,€2.9206 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2853 hourly,€0.0511 hourly,€0.5993 hourly,€0.3651 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€3.4238 hourly,€0.6131 hourly,€7.1915 hourly,€4.3809 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.9528 hourly,€0.1706 hourly,€1.5808 hourly,€0.7986 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1191 hourly,€0.0213 hourly,€0.1976 hourly,€0.0998 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.9057 hourly,€0.3412 hourly,€3.1616 hourly,€1.5971 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2382 hourly,€0.0427 hourly,€0.3952 hourly,€0.1996 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.8114 hourly,€0.6824 hourly,€6.3232 hourly,€3.1942 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4764 hourly,€0.0853 hourly,€0.7904 hourly,€0.3993 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€5.717 hourly,€1.0236 hourly,€9.4848 hourly,€4.7914 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€9.1706 hourly,€1.6419 hourly,€12.9383 hourly,€5.4096 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0478 hourly,€0.0086 hourly,€0.0871 hourly,€0.0478 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.7651 hourly,€0.137 hourly,€1.3931 hourly,€0.765 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.0956 hourly,€0.0171 hourly,€0.1741 hourly,€0.0956 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.5303 hourly,€0.274 hourly,€2.7862 hourly,€1.5299 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.1913 hourly,€0.0343 hourly,€0.3483 hourly,€0.1912 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€3.0606 hourly,€0.548 hourly,€5.5724 hourly,€3.0599 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3826 hourly,€0.0685 hourly,€0.6966 hourly,€0.3825 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€4.5909 hourly,€0.822 hourly,€8.3586 hourly,€4.5898 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€21.4895 hourly,€3.8472 hourly,€27.769 hourly,€10.1268 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€5.3724 hourly,€0.9618 hourly,€6.9423 hourly,€2.5317 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€10.7447 hourly,€1.9236 hourly,€13.8845 hourly,€5.0634 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.1192 hourly,€0.1578 hourly,€0.7471 hourly,€0.7858 hourly
