Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N1 High Memory 96,n1-highmem-96,624 GiB,96,€4.8449 hourly,€1.2174 hourly,€8.6127 hourly,€4.9852 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€7.7717 hourly,€1.9351 hourly,€11.5394 hourly,€5.7029 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0405 hourly,€0.0102 hourly,€0.0798 hourly,€0.0495 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.6484 hourly,€0.1639 hourly,€1.2764 hourly,€0.7919 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.0811 hourly,€0.0205 hourly,€0.1595 hourly,€0.099 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.2969 hourly,€0.3278 hourly,€2.5528 hourly,€1.5837 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.1621 hourly,€0.041 hourly,€0.3191 hourly,€0.198 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€2.5937 hourly,€0.6556 hourly,€5.1055 hourly,€3.1674 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3242 hourly,€0.082 hourly,€0.6382 hourly,€0.3959 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€3.8906 hourly,€0.9834 hourly,€7.6583 hourly,€4.7511 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€18.2114 hourly,€4.5147 hourly,€24.491 hourly,€10.7943 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€4.5529 hourly,€1.1287 hourly,€6.1227 hourly,€2.6986 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€9.1057 hourly,€2.2574 hourly,€12.2455 hourly,€5.3971 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.4894 hourly,€0.1529 hourly,€1.1173 hourly,€0.7809 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0612 hourly,€0.0191 hourly,€0.1397 hourly,€0.0976 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€0.9787 hourly,€0.3058 hourly,€2.2347 hourly,€1.5617 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1223 hourly,€0.0382 hourly,€0.2793 hourly,€0.1952 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€1.4681 hourly,€0.4587 hourly,€3.352 hourly,€2.3426 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€1.9575 hourly,€0.6116 hourly,€4.4693 hourly,€3.1235 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.2447 hourly,€0.0765 hourly,€0.5587 hourly,€0.3904 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€2.4468 hourly,€0.7645 hourly,€5.5866 hourly,€3.9043 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€2.9362 hourly,€0.9174 hourly,€6.704 hourly,€4.6852 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€6.5756 hourly,€2.0528 hourly,€11.5993 hourly,€7.0764 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.8943 hourly,€0.2791 hourly,€1.5222 hourly,€0.9071 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.1118 hourly,€0.0349 hourly,€0.1903 hourly,€0.1134 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€1.7885 hourly,€0.5583 hourly,€3.0444 hourly,€1.8142 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.2236 hourly,€0.0698 hourly,€0.3806 hourly,€0.2268 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€2.6828 hourly,€0.8374 hourly,€4.5666 hourly,€2.7213 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€3.577 hourly,€1.1166 hourly,€6.0888 hourly,€3.6284 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.4471 hourly,€0.1396 hourly,€0.7611 hourly,€0.4535 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€4.4713 hourly,€1.3957 hourly,€7.611 hourly,€4.5355 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€5.3655 hourly,€1.6748 hourly,€9.1332 hourly,€5.4426 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€5.3031 hourly,€1.6561 hourly,€10.3268 hourly,€6.6797 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.6629 hourly,€0.207 hourly,€1.2908 hourly,€0.835 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0829 hourly,€0.0259 hourly,€0.1614 hourly,€0.1044 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€1.3258 hourly,€0.414 hourly,€2.5817 hourly,€1.6699 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.1657 hourly,€0.0518 hourly,€0.3227 hourly,€0.2087 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€1.9887 hourly,€0.621 hourly,€3.8725 hourly,€2.5049 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€2.6516 hourly,€0.828 hourly,€5.1634 hourly,€3.3399 hourly
