Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€3.0274 hourly,€1.0337 hourly,€4.7543 hourly,€2.7606 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.5504 hourly,€0.188 hourly,€0.8644 hourly,€0.5019 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.5504 hourly,€0.188 hourly,€0.8644 hourly,€0.5019 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€6.0548 hourly,€2.0675 hourly,€9.5086 hourly,€5.5212 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€6.0548 hourly,€2.0675 hourly,€9.5086 hourly,€5.5212 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.2217 hourly,€3.1271 hourly,€11.8733 hourly,€8.7787 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6913 hourly,€0.3475 hourly,€1.3193 hourly,€0.9754 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€8.2956 hourly,€4.1694 hourly,€15.8311 hourly,€11.7049 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0864 hourly,€0.0434 hourly,€0.1649 hourly,€0.1219 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.037 hourly,€0.5212 hourly,€1.9789 hourly,€1.4631 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€12.4434 hourly,€6.2541 hourly,€23.7466 hourly,€17.5573 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.3826 hourly,€0.6949 hourly,€2.6385 hourly,€1.9508 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1728 hourly,€0.0869 hourly,€0.3298 hourly,€0.2439 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.0739 hourly,€1.0424 hourly,€3.9578 hourly,€2.9262 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3457 hourly,€0.1737 hourly,€0.6596 hourly,€0.4877 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.1478 hourly,€2.0847 hourly,€7.9155 hourly,€5.8524 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€6.6668 hourly,€4.7915 hourly,€12.3184 hourly,€10.4431 hourly
