Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,,€0.6091 hourly,,€4.3768 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,,€0.1695 hourly,,€0.7975 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,,€0.0212 hourly,,€0.0997 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,,€0.339 hourly,,€1.5949 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,,€0.0424 hourly,,€0.1994 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,,€0.678 hourly,,€3.1898 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,,€0.0848 hourly,,€0.3987 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,,€1.017 hourly,,€4.7848 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,,€1.6313 hourly,,€5.3991 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,,€0.0085 hourly,,€0.0478 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,,€0.1361 hourly,,€0.7641 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,,€0.017 hourly,,€0.0955 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,,€0.2722 hourly,,€1.5281 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,,€0.034 hourly,,€0.191 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,,€0.5445 hourly,,€3.0563 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,,€0.0681 hourly,,€0.382 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,,€0.8167 hourly,,€4.5844 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,,€3.8227 hourly,,€10.1023 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,,€0.9557 hourly,,€2.5256 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,,€1.9114 hourly,,€5.0511 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,,,,
N2 High CPU 2,n2-highcpu-2,2 GiB,2,,,,
N2 High CPU 32,n2-highcpu-32,32 GiB,32,,,,
N2 High CPU 4,n2-highcpu-4,4 GiB,4,,,,
N2 High CPU 48,n2-highcpu-48,48 GiB,48,,,,
N2 High CPU 64,n2-highcpu-64,64 GiB,64,,,,
N2 High CPU 8,n2-highcpu-8,8 GiB,8,,,,
N2 High CPU 80,n2-highcpu-80,80 GiB,80,,,,
N2 High CPU 96,n2-highcpu-96,96 GiB,96,,,,
N2 High Memory 128,n2-highmem-128,864 GiB,128,,,,
N2 High Memory 16,n2-highmem-16,128 GiB,16,,,,
N2 High Memory 2,n2-highmem-2,16 GiB,2,,,,
N2 High Memory 32,n2-highmem-32,256 GiB,32,,,,
N2 High Memory 4,n2-highmem-4,32 GiB,4,,,,
N2 High Memory 48,n2-highmem-48,384 GiB,48,,,,
N2 High Memory 64,n2-highmem-64,512 GiB,64,,,,
N2 High Memory 8,n2-highmem-8,64 GiB,8,,,,
N2 High Memory 80,n2-highmem-80,640 GiB,80,,,,
N2 High Memory 96,n2-highmem-96,768 GiB,96,,,,
N2 Standard 128,n2-standard-128,512 GiB,128,,,,
N2 Standard 16,n2-standard-16,64 GiB,16,,,,
N2 Standard 2,n2-standard-2,8 GiB,2,,,,
N2 Standard 32,n2-standard-32,128 GiB,32,,,,
N2 Standard 4,n2-standard-4,16 GiB,4,,,,
N2 Standard 48,n2-standard-48,192 GiB,48,,,,
N2 Standard 64,n2-standard-64,256 GiB,64,,,,
N2 Standard 8,n2-standard-8,32 GiB,8,,,,
N2 Standard 80,n2-standard-80,320 GiB,80,,,,
N2 Standard 96,n2-standard-96,384 GiB,96,,,,
N2D High CPU 128,n2d-highcpu-128,128 GiB,128,,,,
N2D High CPU 16,n2d-highcpu-16,16 GiB,16,,,,
N2D High CPU 2,n2d-highcpu-2,2 GiB,2,,,,
N2D High CPU 224,n2d-highcpu-224,224 GiB,224,,,,
N2D High CPU 32,n2d-highcpu-32,32 GiB,32,,,,
N2D High CPU 4,n2d-highcpu-4,4 GiB,4,,,,
N2D High CPU 48,n2d-highcpu-48,48 GiB,48,,,,
N2D High CPU 64,n2d-highcpu-64,64 GiB,64,,,,
N2D High CPU 8,n2d-highcpu-8,8 GiB,8,,,,
N2D High CPU 80,n2d-highcpu-80,80 GiB,80,,,,
N2D High CPU 96,n2d-highcpu-96,96 GiB,96,,,,
N2D High Memory 16,n2d-highmem-16,128 GiB,16,,,,
N2D High Memory 2,n2d-highmem-2,16 GiB,2,,,,
N2D High Memory 32,n2d-highmem-32,256 GiB,32,,,,
N2D High Memory 4,n2d-highmem-4,32 GiB,4,,,,
N2D High Memory 48,n2d-highmem-48,384 GiB,48,,,,
N2D High Memory 64,n2d-highmem-64,512 GiB,64,,,,
N2D High Memory 8,n2d-highmem-8,64 GiB,8,,,,
N2D High Memory 80,n2d-highmem-80,640 GiB,80,,,,
