Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6734 hourly,€0.2694 hourly,€1.3014 hourly,€0.8973 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€8.081 hourly,€3.2323 hourly,€15.6165 hourly,€10.7678 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0842 hourly,€0.0337 hourly,€0.1627 hourly,€0.1122 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.0101 hourly,€0.404 hourly,€1.9521 hourly,€1.346 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€12.1215 hourly,€4.8485 hourly,€23.4247 hourly,€16.1517 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.3468 hourly,€0.5387 hourly,€2.6027 hourly,€1.7946 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1684 hourly,€0.0673 hourly,€0.3253 hourly,€0.2243 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.0203 hourly,€0.8081 hourly,€3.9041 hourly,€2.692 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3367 hourly,€0.1347 hourly,€0.6507 hourly,€0.4487 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.0405 hourly,€1.6162 hourly,€7.8082 hourly,€5.3839 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€9.2879 hourly,€3.7149 hourly,€14.9395 hourly,€9.3665 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€9.2879 hourly,€3.7149 hourly,€14.9395 hourly,€9.3665 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€1.032 hourly,€0.4128 hourly,€1.6599 hourly,€1.0407 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€1.032 hourly,€0.4128 hourly,€1.6599 hourly,€1.0407 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€12.3838 hourly,€4.9532 hourly,€19.9193 hourly,€12.4887 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€12.3838 hourly,€4.9532 hourly,€19.9193 hourly,€12.4887 hourly
