Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€2.3053 hourly,€0.6607 hourly,€3.4042 hourly,€1.7596 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€4.6106 hourly,€1.3214 hourly,€6.8084 hourly,€3.5193 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€16.6432 hourly,€4.6742 hourly,€21.0389 hourly,€9.0699 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€33.2864 hourly,€9.3484 hourly,€42.0778 hourly,€18.1397 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€8.3216 hourly,€2.3371 hourly,€10.5195 hourly,€4.5349 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.5809 hourly,€0.1777 hourly,€1.2088 hourly,€0.8057 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0726 hourly,€0.0222 hourly,€0.1511 hourly,€0.1007 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.1617 hourly,€0.3555 hourly,€2.4176 hourly,€1.6114 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1452 hourly,€0.0444 hourly,€0.3022 hourly,€0.2014 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€2.3234 hourly,€0.711 hourly,€4.8352 hourly,€3.2228 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2904 hourly,€0.0889 hourly,€0.6044 hourly,€0.4029 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€3.4851 hourly,€1.0665 hourly,€7.2528 hourly,€4.8342 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.9698 hourly,€0.2967 hourly,€1.5978 hourly,€0.9247 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1212 hourly,€0.0371 hourly,€0.1997 hourly,€0.1156 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.9396 hourly,€0.5934 hourly,€3.1955 hourly,€1.8493 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2425 hourly,€0.0742 hourly,€0.3994 hourly,€0.2312 hourly
