Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 24,c4-highmem-24,186 GiB,24,€0.8918 hourly,€0.5656 hourly,€1.8337 hourly,€1.5076 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€0.8918 hourly,€0.5656 hourly,€1.8337 hourly,€1.5076 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€10.7011 hourly,€6.7874 hourly,€22.0043 hourly,€18.0906 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€10.7011 hourly,€6.7874 hourly,€22.0043 hourly,€18.0906 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€10.7011 hourly,€6.7874 hourly,€22.0043 hourly,€18.0906 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€10.7011 hourly,€6.7874 hourly,€22.0043 hourly,€18.0906 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€1.189 hourly,€0.7542 hourly,€2.4449 hourly,€2.0101 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€1.189 hourly,€0.7542 hourly,€2.4449 hourly,€2.0101 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.1486 hourly,€0.0943 hourly,€0.3056 hourly,€0.2513 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.1486 hourly,€0.0943 hourly,€0.3056 hourly,€0.2513 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€1.7835 hourly,€1.1312 hourly,€3.6674 hourly,€3.0151 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€1.7835 hourly,€1.1312 hourly,€3.6674 hourly,€3.0151 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.2973 hourly,€0.1885 hourly,€0.6112 hourly,€0.5025 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.2973 hourly,€0.1885 hourly,€0.6112 hourly,€0.5025 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€3.567 hourly,€2.2625 hourly,€7.3348 hourly,€6.0302 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€3.567 hourly,€2.2625 hourly,€7.3348 hourly,€6.0302 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€5.102 hourly,€2.6472 hourly,€10.7536 hourly,€8.2988 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€5.102 hourly,€2.6472 hourly,€10.7536 hourly,€8.2988 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.5669 hourly,€0.2941 hourly,€1.1948 hourly,€0.9221 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.5669 hourly,€0.2941 hourly,€1.1948 hourly,€0.9221 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€6.8027 hourly,€3.5296 hourly,€14.3382 hourly,€11.0651 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€6.8027 hourly,€3.5296 hourly,€14.3382 hourly,€11.0651 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0706 hourly,€0.0361 hourly,€0.1491 hourly,€0.1146 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€0.8503 hourly,€0.4412 hourly,€1.7923 hourly,€1.3831 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€0.8503 hourly,€0.4412 hourly,€1.7923 hourly,€1.3831 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€10.2041 hourly,€5.2944 hourly,€21.5073 hourly,€16.5976 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€10.2041 hourly,€5.2944 hourly,€21.5073 hourly,€16.5976 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€10.2041 hourly,€5.2944 hourly,€21.5073 hourly,€16.5976 hourly
