Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€1.2722 hourly,€0.5088 hourly,€1.9001 hourly,€1.1368 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€15.2663 hourly,€6.1061 hourly,€22.8018 hourly,€13.6416 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€15.2663 hourly,€6.1061 hourly,€22.8018 hourly,€13.6416 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1566 hourly,€0.0626 hourly,€0.2351 hourly,€0.1411 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.9083 hourly,€0.7633 hourly,€2.8502 hourly,€1.7052 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.9083 hourly,€0.7633 hourly,€2.8502 hourly,€1.7052 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€22.8994 hourly,€9.1592 hourly,€34.2026 hourly,€20.4624 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€22.8994 hourly,€9.1592 hourly,€34.2026 hourly,€20.4624 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€22.8994 hourly,€9.1592 hourly,€34.2026 hourly,€20.4624 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€22.8994 hourly,€9.1592 hourly,€34.2026 hourly,€20.4624 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€2.5444 hourly,€1.0177 hourly,€3.8003 hourly,€2.2736 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€2.5444 hourly,€1.0177 hourly,€3.8003 hourly,€2.2736 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.318 hourly,€0.1272 hourly,€0.475 hourly,€0.2842 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.318 hourly,€0.1272 hourly,€0.475 hourly,€0.2842 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€3.8166 hourly,€1.5265 hourly,€5.7004 hourly,€3.4104 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€3.8166 hourly,€1.5265 hourly,€5.7004 hourly,€3.4104 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.6361 hourly,€0.2544 hourly,€0.9501 hourly,€0.5684 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.6361 hourly,€0.2544 hourly,€0.9501 hourly,€0.5684 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€7.6331 hourly,€3.0531 hourly,€11.4009 hourly,€6.8208 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€7.6331 hourly,€3.0531 hourly,€11.4009 hourly,€6.8208 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€8.6822 hourly,€3.4728 hourly,€14.3338 hourly,€9.1244 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€8.6822 hourly,€3.4728 hourly,€14.3338 hourly,€9.1244 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.9647 hourly,€0.3859 hourly,€1.5926 hourly,€1.0138 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.9647 hourly,€0.3859 hourly,€1.5926 hourly,€1.0138 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€11.5763 hourly,€4.6303 hourly,€19.1118 hourly,€12.1658 hourly
