model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server,usage.instance_per_server,usage.max_power,usage.max_power,usage.workload.idle.power,usage.workload.idle.time,usage.workload.10.power,usage.workload.10.time,usage.workload.50.power,usage.workload.50.time,usage.workload.100.power,usage.workload.100.time
AWS,c6g.xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.0625,16.00,16.2,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.2xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.125,8.00,32.4,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.4xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.25,4.00,64.9,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.8xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.5,2.00,129.8,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.12xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.75,1.33,194.7,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.16xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,1,1.00,259.6,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6g.metal,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,1,1.00,259.6,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.medium,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.015625,64.00,4.1,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.large,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.03125,32.00,8.1,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.0625,16.00,16.2,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
