model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,c6gd.12xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,"1,333333333"
AWS,c6gd.16xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,1
AWS,c6gd.metal,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,1
AWS,c6gn.medium,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,64
AWS,c6gn.large,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,32
AWS,c6gn.xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,16
AWS,c6gn.2xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,8
AWS,c6gn.4xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,4
AWS,c6gn.8xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,2
AWS,c6gn.12xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,"1,333333333"
AWS,c6gn.16xlarge,rack,2019,1,150,Graviton2,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,1
AWS,m5.large,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,48
AWS,m5.xlarge,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,24
AWS,m5.2xlarge,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,12
