Instance,Host,NbInstancesMax,NVMe units,NVMe capacity,SSD embedded capacity
L48s v2,lsv2-type1,1,6,1920,
L64s v2,lsv2-type1,1,8,1920,
L80s v2,lsv2-type1,1,10,1920,
NV4as v4,NVasv4-Type1,30,,,
NV8as v4,NVasv4-Type1,15,,,
NV16as v4,NVasv4-Type1,7,,,
NV32as v4,NVasv4-Type1,3,,,
NV12s v3,NVsv3-Type1,4,,,
NV24s v3,NVsv3-Type1,2,,,
NV48s v3,NVsv3-Type1,1,,,
