,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
250,i2.xlarge,4,30.5,800,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.0052,16.080365,0.00158,0.004,0.0059,40.1290925,0.0039,0.0099,0.0148,50.555960000000006,0.005,0.0124,0.0187
251,i2.xlarge.elasticsearch,4,30.5,800,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.0052,16.080365,0.00158,0.004,0.0059,40.1290925,0.0039,0.0099,0.0148,50.555960000000006,0.005,0.0124,0.0187
252,i2.2xlarge,8,61.0,1600,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.01,32.16073,0.00315,0.0079,0.0119,80.258185,0.0079,0.0197,0.0297,101.11192000000001,0.0099,0.0249,0.037
253,i2.2xlarge.elasticsearch,8,61.0,1600,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.01,32.16073,0.00315,0.0079,0.0119,80.258185,0.0079,0.0197,0.0297,101.11192000000001,0.0099,0.0249,0.037
254,i2.4xlarge,16,122.0,3200,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.021,64.32146,0.0063,0.0158,0.0238,160.51637,0.0157,0.039,0.059,202.22384000000002,0.0198,0.05,0.075
255,i2.8xlarge,32,244.0,6400,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/,0.042,128.64292,0.0126,0.0316,0.048,321.03274,0.0315,0.079,0.119,404.44768000000005,0.04,0.099,0.15
256,i3.large,2,15.0,475,0,0,i3.metal,,0.0017,6.943486666666667,0.00068,0.00171,0.00257,13.682005555555557,0.00134,0.0034,0.0051,16.603572222222223,0.00163,0.0041,0.0061
257,i3.large.elasticsearch,2,15.0,475,0,0,i3.metal,,0.0017,6.943486666666667,0.00068,0.00171,0.00257,13.682005555555557,0.00134,0.0034,0.0051,16.603572222222223,0.00163,0.0041,0.0061
258,i3.xlarge,4,31.0,950,0,0,i3.metal,,0.0035,14.264693333333332,0.0014,0.0035,0.0053,27.74173111111111,0.00272,0.0068,0.0103,33.58486444444444,0.00329,0.0083,0.0124
259,i3.xlarge.elasticsearch,4,31.0,950,0,0,i3.metal,,0.0035,14.264693333333332,0.0014,0.0035,0.0053,27.74173111111111,0.00272,0.0068,0.0103,33.58486444444444,0.00329,0.0083,0.0124
