"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"D128s v6","D128s v6","512 GiB","128","4 GiB/vCPU","0","0 GiB","$6.451 hourly","","","$1.4031 hourly","$12.339 hourly","","","$2.6837 hourly"
"D128s v7","D128s v7","512 GiB","128","4 GiB/vCPU","0","0 GiB","$8.467 hourly","","","$1.5647 hourly","$14.355 hourly","","","$2.6528 hourly"
"D12s","D12s","28 GiB","4","7 GiB/vCPU","0","56 GiB","$0.386 hourly","","","$0.0757 hourly","$0.528 hourly","","","$0.1035 hourly"
"D12 v2","D12 v2","28 GiB","4","7 GiB/vCPU","0","200 GiB","$0.371 hourly","","","$0.0727 hourly","$0.476 hourly","","","$0.0933 hourly"
"D13","D13","56 GiB","8","7 GiB/vCPU","0","400 GiB","$0.771 hourly","","","$0.1511 hourly","$1.056 hourly","","","$0.207 hourly"
"D13s","D13s","56 GiB","8","7 GiB/vCPU","0","112 GiB","$0.771 hourly","","","$0.1511 hourly","$1.056 hourly","","","$0.207 hourly"
"D13 v2","D13 v2","56 GiB","8","7 GiB/vCPU","0","400 GiB","$0.741 hourly","","","$0.1452 hourly","$0.952 hourly","","","$0.1866 hourly"
"D14","D14","112 GiB","16","7 GiB/vCPU","0","800 GiB","$1.542 hourly","","","$0.3022 hourly","$2.111 hourly","","","$0.4138 hourly"
"D14s","D14s","112 GiB","16","7 GiB/vCPU","0","224 GiB","$1.542 hourly","","","$0.3022 hourly","$2.111 hourly","","","$0.4138 hourly"
"D14 v2","D14 v2","112 GiB","16","7 GiB/vCPU","0","800 GiB","$1.482 hourly","","","$0.2905 hourly","$1.904 hourly","","","$0.3732 hourly"
"D15i v2","D15i v2","140 GiB","20","7 GiB/vCPU","0","1000 GiB","$1.853 hourly","","","$0.3632 hourly","$2.38 hourly","","","$0.4665 hourly"
"D15 v2","D15 v2","140 GiB","20","7 GiB/vCPU","0","1000 GiB","$1.853 hourly","","","$0.3632 hourly","$2.38 hourly","","","$0.4665 hourly"
"D160ads v7","D160ads v7","640 GiB","160","4 GiB/vCPU","0","8800 GiB","$9.12 hourly","","","$1.71 hourly","$16.48 hourly","","","$3.0982 hourly"
"D160alds v7","D160alds v7","320 GiB","160","2 GiB/vCPU","0","8800 GiB","$7.616 hourly","","","$1.428 hourly","$14.976 hourly","","","$2.8155 hourly"
"D160als v7","D160als v7","320 GiB","160","2 GiB/vCPU","0","0 GiB","$6.432 hourly","","","$1.206 hourly","$13.792 hourly","","","$2.5929 hourly"
"D160as v7","D160as v7","640 GiB","160","4 GiB/vCPU","0","0 GiB","$7.264 hourly","","","$1.362 hourly","$14.624 hourly","","","$2.7493 hourly"
"D16ads v5","D16ads v5","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.824 hourly","","","$0.1882 hourly","$1.56 hourly","","","$0.3563 hourly"
"D16ads v6","D16ads v6","64 GiB","16","4 GiB/vCPU","0","880 GiB","$0.912 hourly","","","$0.1972 hourly","$1.648 hourly","","","$0.3558 hourly"
"D16ads v7","D16ads v7","64 GiB","16","4 GiB/vCPU","0","880 GiB","$0.912 hourly","","","$0.171 hourly","$1.648 hourly","","","$0.3098 hourly"
"D16alds v6","D16alds v6","32 GiB","16","2 GiB/vCPU","0","880 GiB","$0.762 hourly","","","$0.1647 hourly","$1.498 hourly","","","$0.3234 hourly"
"D16alds v7","D16alds v7","32 GiB","16","2 GiB/vCPU","0","880 GiB","$0.762 hourly","","","$0.1429 hourly","$1.498 hourly","","","$0.2816 hourly"
"D16als v6","D16als v6","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.643 hourly","","","$0.1348 hourly","$1.379 hourly","","","$0.289 hourly"
"D16als v7","D16als v7","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.643 hourly","","","$0.1206 hourly","$1.379 hourly","","","$0.2593 hourly"
"D16as v4","D16as v4","64 GiB","16","4 GiB/vCPU","0","128 GiB","$0.768 hourly","","","$0.1677 hourly","$1.504 hourly","","","$0.3283 hourly"
"D16as v5","D16as v5","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.688 hourly","","","$0.1571 hourly","$1.424 hourly","","","$0.3252 hourly"
"D16as v6","D16as v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.726 hourly","","","$0.1522 hourly","$1.462 hourly","","","$0.3064 hourly"
"D16as v7","D16as v7","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.726 hourly","","","$0.1361 hourly","$1.462 hourly","","","$0.2749 hourly"
"D16a v4","D16a v4","64 GiB","16","4 GiB/vCPU","0","400 GiB","$0.768 hourly","","","$0.1677 hourly","$1.504 hourly","","","$0.3283 hourly"
"D16ds v4","D16ds v4","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.904 hourly","","","$0.1952 hourly","$1.64 hourly","","","$0.3541 hourly"
"D16ds v5","D16ds v5","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.904 hourly","","","$0.2001 hourly","$1.64 hourly","","","$0.3631 hourly"
"D16ds v6","D16ds v6","64 GiB","16","4 GiB/vCPU","0","880 GiB","$0.997 hourly","","","$0.2194 hourly","$1.733 hourly","","","$0.3814 hourly"
"D16ds v7","D16ds v7","64 GiB","16","4 GiB/vCPU","0","880 GiB","$1.305 hourly","","","$0.2412 hourly","$2.041 hourly","","","$0.3772 hourly"
"D16d v4","D16d v4","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.904 hourly","","","$0.1952 hourly","$1.64 hourly","","","$0.3541 hourly"
"D16d v5","D16d v5","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.904 hourly","","","$0.2001 hourly","$1.64 hourly","","","$0.3631 hourly"
"D16lds v5","D16lds v5","32 GiB","16","2 GiB/vCPU","0","600 GiB","$0.768 hourly","","","$0.17 hourly","$1.504 hourly","","","$0.333 hourly"
"D16lds v6","D16lds v6","32 GiB","16","2 GiB/vCPU","0","880 GiB","$0.883 hourly","","","$0.1943 hourly","$1.619 hourly","","","$0.3563 hourly"
"D16lds v7","D16lds v7","32 GiB","16","2 GiB/vCPU","0","880 GiB","$1.109 hourly","","","$0.2049 hourly","$1.845 hourly","","","$0.341 hourly"
"D16ls v5","D16ls v5","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.68 hourly","","","$0.1435 hourly","$1.416 hourly","","","$0.2989 hourly"
"D16ls v6","D16ls v6","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.714 hourly","","","$0.1553 hourly","$1.45 hourly","","","$0.3154 hourly"
"D16ls v7","D16ls v7","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.937 hourly","","","$0.1732 hourly","$1.673 hourly","","","$0.3092 hourly"
"D16nds v6","D16nds v6","64 GiB","16","4 GiB/vCPU","0","880 GiB","$1.273 hourly","","","$0.2802 hourly","$2.009 hourly","","","$0.4422 hourly"
"D16nlds v6","D16nlds v6","32 GiB","16","2 GiB/vCPU","0","880 GiB","$1.12 hourly","","","$0.2465 hourly","$1.856 hourly","","","$0.4085 hourly"
