instance,host,nbinstancesmax,nvme_units,nvme_capacity,ssd_embeded_capacity
f4s_v2,fsv2-type4,24,,,
f8s_v2,fsv2-type4,12,,,
f16s_v2,fsv2-type4,6,,,
f32s_v2,fsv2-type4,3,,,
f48s_v2,fsv2-type4,2,,,
f64s_v2,fsv2-type4,1,,,
f72s_v2,fsv2-type4,1,,,
fx4mds,fxmds-type1,12,,,
fx12mds,fxmds-type1,4,,,
fx24mds,fxmds-type1,2,,,
fx36mds,fxmds-type1,1,,,
fx48mds,fxmds-type1,1,,,
nv4as_v4,nvasv4-type1,30,,,
nv8as_v4,nvasv4-type1,15,,,
nv16as_v4,nvasv4-type1,7,,,
nv32as_v4,nvasv4-type1,3,,,
nv12s_v3,nvsv3-type1,4,,,
nv24s_v3,nvsv3-type1,2,,,
nv48s_v3,nvsv3-type1,1,,,
l8as_v3,lasv3-type1,10,,,
l16as_v3,lasv3-type1,5,,,
l32as_v3,lasv3-type1,2,,,
l48as_v3,lasv3-type1,1,,,
l64as_v3,lasv3-type1,1,,,
l80as_v3,lasv3-type1,1,,,
l8s_v3,lsv3-type1,10,,,
l16s_v3,lsv3-type1,5,,,
l32s_v3,lsv3-type1,2,,,
l48s_v3,lsv3-type1,1,,,
l64s_v3,lsv3-type1,1,,,
l80s_v3,lsv3-type1,1,,,
l8s_v2,lsv2-type1,10,,,
l16s_v2,lsv2-type1,5,,,
l32s_v2,lsv2-type1,2,,,
l48s_v2,lsv2-type1,1,,,
l64s_v2,lsv2-type1,1,,,
l80s_v2,lsv2-type1,1,,,
d2ds_v6,ddsv6-type1,32,,,
d4ds_v6,ddsv6-type1,32,,,
d8ds_v6,ddsv6-type1,25,,,
d16ds_v6,ddsv6-type1,12,,,
d32ds_v6,ddsv6-type1,6,,,
d48ds_v6,ddsv6-type1,4,,,
d64ds_v6,ddsv6-type1,3,,,
d96ds_v6,ddsv6-type1,2,,,
d128ds_v6,ddsv6-type1,1,,,
d192ds_v6,ddsv6-type1,1,,,
d2s_v6,dsv6-type1,32,,,
d4s_v6,dsv6-type1,32,,,
d8s_v6,dsv6-type1,25,,,
d16s_v6,dsv6-type1,12,,,
d32s_v6,dsv6-type1,6,,,
d48s_v6,dsv6-type1,4,,,
d64s_v6,dsv6-type1,3,,,
d96s_v6,dsv6-type1,2,,,
d128s_v6,dsv6-type1,1,,,
d192s_v6,dsv6-type1,1,,,
d2as_v6,dasv6-type1,32,,,
d4as_v6,dasv6-type1,32,,,
d8as_v6,dasv6-type1,18,,,
d16as_v6,dasv6-type1,9,,,
d32as_v6,dasv6-type1,4,,,
d48as_v6,dasv6-type1,3,,,
d64as_v6,dasv6-type1,2,,,
d96as_v6,dasv6-type1,1,,,
d2ads_v5,dadsv5-type1,32,,,
d4ads_v5,dadsv5-type1,27,,,
d8ads_v5,dadsv5-type1,14,,,
d16ads_v5,dadsv5-type1,7,,,
d32ads_v5,dadsv5-type1,3,,,
d48ads_v5,dadsv5-type1,2,,,
d64ads_v5,dadsv5-type1,1,,,
d96ads_v5,dadsv5-type1,1,,,
d2as_v5,dasv5-type1,32,,,
d4as_v5,dasv5-type1,28,,,
d8as_v5,dasv5-type1,14,,,
d16as_v5,dasv5-type1,7,,,
d32as_v5,dasv5-type1,3,,,
d48as_v5,dasv5-type1,2,,,
d64as_v5,dasv5-type1,1,,,
d96as_v5,dasv5-type1,1,,,
d2as_v4,dasv4-type1,32,,,
d4as_v4,dasv4-type1,24,,,
d8as_v4,dasv4-type1,12,,,
d16as_v4,dasv4-type1,6,,,
d32as_v4,dasv4-type1,3,,,
d48as_v4,dasv4-type1,2,,,
d64as_v4,dasv4-type1,1,,,
d96as_v4,dasv4-type1,1,,,
d2as_v4,dasv4-type2,32,,,
d4as_v4,dasv4-type2,25,,,
d8as_v4,dasv4-type2,12,,,
d16as_v4,dasv4-type2,6,,,
d32as_v4,dasv4-type2,3,,,
d48as_v4,dasv4-type2,2,,,
d64as_v4,dasv4-type2,1,,,
d96as_v4,dasv4-type2,1,,,
dc2ads_v5,dcadsv5-type1,32,,,
dc4ads_v5,dcadsv5-type1,27,,,
dc8ads_v5,dcadsv5-type1,14,,,
dc16ads_v5,dcadsv5-type1,7,,,
dc32ads_v5,dcadsv5-type1,3,,,
dc48ads_v5,dcadsv5-type1,2,,,
dc64ads_v5,dcadsv5-type1,1,,,
dc96ads_v5,dcadsv5-type1,1,,,
dc2as_v5,dcasv5-type1,32,,,
dc4as_v5,dcasv5-type1,28,,,
dc8as_v5,dcasv5-type1,14,,,
dc16as_v5,dcasv5-type1,7,,,
dc32as_v5,dcasv5-type1,3,,,
dc48as_v5,dcasv5-type1,2,,,
dc64as_v5,dcasv5-type1,1,,,
dc96as_v5,dcasv5-type1,1,,,
dc1s_v3,dcsv3-type1,32,,,
dc2s_v3,dcsv3-type1,24,,,
dc4s_v3,dcsv3-type1,12,,,
dc8s_v3,dcsv3-type1,6,,,
dc16s_v3,dcsv3-type1,3,,,
dc24s_v3,dcsv3-type1,2,,,
dc16ds_v3,dcdsv3-type1,2,,,
dc24ds_v3,dcdsv3-type1,1,,,
dc32ds_v3,dcdsv3-type1,1,,,
dc48ds_v3,dcdsv3-type1,1,,,
dc8_v2,dcsv2-type1,1,,,
d2ds_v5,ddsv5-type1,32,,,
d4ds_v5,ddsv5-type1,22,,,
d8ds_v5,ddsv5-type1,11,,,
d16ds_v5,ddsv5-type1,5,,,
d32ds_v5,ddsv5-type1,2,,,
d48ds_v5,ddsv5-type1,1,,,
d64ds_v5,ddsv5-type1,1,,,
d96ds_v5,ddsv5-type1,1,,,
d2ds_v4,ddsv4-type1,32,,,
d4ds_v4,ddsv4-type1,17,,,
d8ds_v4,ddsv4-type1,8,,,
d16ds_v4,ddsv4-type1,4,,,
d32ds_v4,ddsv4-type1,2,,,
d48ds_v4,ddsv4-type1,1,,,
d64ds_v4,ddsv4-type1,1,,,
d2ds_v4,ddsv4-type2,32,,,
d4ds_v4,ddsv4-type2,19,,,
d8ds_v4,ddsv4-type2,9,,,
d16ds_v4,ddsv4-type2,4,,,
d32ds_v4,ddsv4-type2,2,,,
d48ds_v4,ddsv4-type2,1,,,
d64ds_v4,ddsv4-type2,1,,,
d2s_v5,dsv5-type1,32,,,
