instance_name,instance_family,instance_cpu,vcpus,numa_nodes,memory_gb,avg_score,stddev,stddev_percentage,runs
standard_e8-2ds_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,2,1,62.8,34902,56,0.16%,42
standard_e8-2ds_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,64,26318,1665,6.33%,140
standard_e8-2s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,64,27219,1167,4.29%,56
standard_e8-2s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,64,31322,38,0.12%,42
standard_e8-2s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,64,30989,2864,9.24%,406
standard_e8-2s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,64,35762,404,1.13%,182
standard_e8-2s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,2,1,62.8,30473,1714,5.62%,35
standard_e8-2s_v5,eadsv5,amd epyc 7763 64-core processor,4,1,62.8,73154,920,1.26%,35
standard_e8-4ads_v5,easv4,amd epyc 7452 32-core processor,4,1,64,76060,1132,1.49%,168
standard_e8-4as_v4,easv5,amd epyc 7763 64-core processor,4,1,62.8,72735,153,0.21%,35
standard_e8-4as_v5,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,64,66007,778,1.18%,189
standard_e8-4ds_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,64,67144,1200,1.79%,182
standard_e8-4ds_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,4,1,62.8,68738,252,0.37%,42
standard_e8-4ds_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,4,1,64,52719,3706,7.03%,119
standard_e8-4s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,4,1,64,49518,2675,5.40%,77
standard_e8-4s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,64,57859,378,0.65%,42
standard_e8-4s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,64,59589,4762,7.99%,406
standard_e8-4s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,64,65865,530,0.81%,182
standard_e8-4s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,4,1,62.8,64115,4800,7.49%,42
standard_e8-4s_v5,eadsv5,amd epyc 7763 64-core processor,8,1,62.8,153765,572,0.37%,35
standard_e8ads_v5,easv4,amd epyc 7452 32-core processor,8,1,64,149522,2333,1.56%,210
standard_e8as_v4,easv4,amd epyc 7452 32-core processor,8,1,64,151201,3171,2.10%,259
standard_e8as_v4,easv5,amd epyc 7763 64-core processor,8,1,62.8,153881,485,0.31%,35
