id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_1h_impact,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
d96as_v5,96,384.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.021,178.3520025,0.0175,0.044,0.066,354.010755,0.035,0.087,0.131,430.179855,0.042,0.106,0.159
standard_dc1s_v2,1,4.0,50.0,0.0,0,DCsv2-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00065,2.452603125,0.00024,0.0006,0.00091,7.419155625,0.00073,0.00183,0.00275,9.572758125,0.00094,0.00235,0.0035
standard_dc2s_v2,2,8.0,100.0,0.0,0,DCsv2-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0013,4.90520625,0.00048,0.00121,0.00181,14.83831125,0.00145,0.0037,0.0055,19.14551625,0.00188,0.0047,0.0071
standard_dc4s_v2,4,16.0,200.0,0.0,0,DCsv2-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0026,9.8104125,0.00096,0.00241,0.0036,29.6766225,0.00291,0.0073,0.011,38.2910325,0.0038,0.0094,0.0142
dc8_v2,8,32.0,400.0,0.0,0,DCsv2-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0052,19.620825,0.00192,0.0048,0.0073,59.353245,0.0058,0.0146,0.022,76.582065,0.0075,0.0188,0.0283
dc16ds_v3,16,128.0,1200.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0078,59.05399499999999,0.0058,0.0145,0.0218,115.51648499999999,0.0113,0.0284,0.043,139.99846,0.0137,0.034,0.052
dc24ds_v3,24,192.0,1800.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.012,88.58099250000001,0.0087,0.0218,0.0328,173.27472749999998,0.017,0.043,0.064,209.99768999999998,0.0206,0.052,0.078
dc32ds_v3,32,256.0,2400.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.016,118.10798999999999,0.0116,0.0291,0.044,231.03296999999998,0.0226,0.057,0.085,279.99692,0.0274,0.069,0.104
dc48ds_v3,48,384.0,2400.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.023,177.16198500000002,0.0174,0.044,0.066,346.54945499999997,0.034,0.085,0.128,419.99537999999995,0.041,0.103,0.155
dc1s_v3,1,8.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00049,3.6908746874999996,0.00036,0.00091,0.00137,7.219780312499999,0.00071,0.00178,0.00267,8.74990375,0.00086,0.00215,0.00324
dc2s_v3,2,16.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00098,7.381749374999999,0.00072,0.00182,0.00273,14.439560624999999,0.00142,0.0036,0.0053,17.4998075,0.00171,0.0043,0.0065
dc4s_v3,4,32.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.002,14.763498749999998,0.00145,0.0036,0.0055,28.879121249999997,0.00283,0.0071,0.0107,34.999615,0.0034,0.0086,0.0129
dc8s_v3,8,64.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0039,29.526997499999997,0.00289,0.0073,0.0109,57.758242499999994,0.0057,0.0142,0.0214,69.99923,0.0069,0.0172,0.0259
dc16s_v3,16,128.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0078,59.05399499999999,0.0058,0.0145,0.0218,115.51648499999999,0.0113,0.0284,0.043,139.99846,0.0137,0.034,0.052
dc24s_v3,24,192.0,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.012,88.58099250000001,0.0087,0.0218,0.0328,173.27472749999998,0.017,0.043,0.064,209.99768999999998,0.0206,0.052,0.078
d2ds_v4,2,8.0,75.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00045,4.359989375,0.00043,0.00107,0.00161,11.417800624999998,0.00112,0.00281,0.0042,14.478047499999999,0.00142,0.0036,0.0054
d4ds_v4,4,16.0,150.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0009,8.71997875,0.00085,0.00215,0.00323,22.835601249999996,0.00224,0.0056,0.0084,28.956094999999998,0.00284,0.0071,0.0107
d8ds_v4,8,32.0,300.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0018,17.4399575,0.00171,0.0043,0.0065,45.67120249999999,0.0045,0.0112,0.0169,57.912189999999995,0.0057,0.0142,0.0214
d16ds_v4,16,64.0,600.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0036,34.879915,0.0034,0.0086,0.0129,91.34240499999999,0.009,0.0225,0.034,115.82437999999999,0.0114,0.0285,0.043
d32ds_v4,32,128.0,1200.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0072,69.75983,0.0068,0.0172,0.0258,182.68480999999997,0.0179,0.045,0.068,231.64875999999998,0.0227,0.057,0.086
d48ds_v4,48,192.0,1800.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.011,104.63974499999999,0.0103,0.0257,0.039,274.027215,0.0269,0.067,0.101,347.47314,0.034,0.085,0.129
d64ds_v4,64,256.0,2400.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.014,139.51966,0.0137,0.034,0.052,365.36961999999994,0.036,0.09,0.135,463.29751999999996,0.045,0.114,0.171
e2bds_v5,2,16.0,75.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00077,7.381749374999999,0.00072,0.00182,0.00273,14.439560624999999,0.00142,0.0036,0.0053,17.4998075,0.00171,0.0043,0.0065
