"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","1","NVIDIA T4 Tensor Core","16 GiB","7.5","0","0 units","Intel Xeon Family","2.5 GHz","Yes","Yes","Yes","Yes","225 GB                 NVMe SSD","Yes","No","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2040 hourly","$0.7590 hourly","$0.4682 hourly","$0.5545 hourly","$1.3340 hourly","$0.8890 hourly","$0.5982 hourly","$0.6845 hourly","$1.3290 hourly","$0.8190 hourly","$0.5932 hourly","$0.6795 hourly","$1.9400 hourly","$1.4950 hourly","$1.1972 hourly","$1.3276 hourly","$8.6060 hourly","$5.4220 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.2700 hourly","current"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","950 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","5000.0 Mbps","625.0 MB/s","20000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2096 hourly","$0.7602 hourly","$0.5048 hourly","$0.5326 hourly","$1.3746 hourly","$0.9222 hourly","$0.6348 hourly","$0.6626 hourly","$1.3346 hourly","$0.8201 hourly","$0.6298 hourly","$0.6576 hourly","$1.9456 hourly","$1.4962 hourly","$1.1225 hourly","$1.2434 hourly","$10.6440 hourly","$6.6900 hourly","$2.2160 hourly","$1.7666 hourly","$3.8656 hourly","$3.4162 hourly","$7.9456 hourly","$7.4962 hourly","$1.4800 hourly","$1.0306 hourly","$3.1296 hourly","$2.6802 hourly","$7.2096 hourly","$6.7602 hourly","0","$0.3024 hourly","current"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","1","NVIDIA A10G","24 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","450 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","3500.0 IOPS","3500.0 Mbps","437.5 MB/s","15000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2120 hourly","$0.7636 hourly","$0.3735 hourly","$0.4879 hourly","$1.3420 hourly","$0.8936 hourly","$0.5035 hourly","$0.6179 hourly","$1.3370 hourly","$0.8236 hourly","$0.4985 hourly","$0.6129 hourly","$1.5800 hourly","$1.1316 hourly","$0.6486 hourly","$0.6865 hourly","$17.9170 hourly","$11.2880 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3030 hourly","current"
"R7A Quadruple Extra Large","r7a.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 9R14 Processor","3.7 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","5000.0 Mbps","625.0 MB/s","20000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$1.2172 hourly","$0.8052 hourly","$0.5274 hourly","$0.6852 hourly","$1.3822 hourly","$0.9672 hourly","$0.6574 hourly","$0.8152 hourly","$1.3422 hourly","$0.8651 hourly","$0.6524 hourly","$0.8102 hourly","$1.9532 hourly","$1.5412 hourly","$1.1438 hourly","$1.2407 hourly","$16.0670 hourly","$10.6280 hourly","$2.2236 hourly","$1.8116 hourly","$3.8732 hourly","$3.4612 hourly","$7.9532 hourly","$7.5412 hourly","$1.4876 hourly","$1.0756 hourly","$3.1372 hourly","$2.7252 hourly","$7.2172 hourly","$6.8052 hourly","0","unavailable","current"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12.5 Gigabit","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2240 hourly","$0.8097 hourly","$0.7112 hourly","$1.0127 hourly","$1.3540 hourly","$0.9397 hourly","$0.8412 hourly","$1.1427 hourly","$1.3490 hourly","$0.8697 hourly","$0.8362 hourly","$1.1377 hourly","$2.6960 hourly","$2.2817 hourly","$2.2765 hourly","$2.3889 hourly","$8.0780 hourly","$5.3440 hourly","$3.2368 hourly","$2.8225 hourly","$6.5360 hourly","$6.1217 hourly","$14.6960 hourly","$14.2817 hourly","$1.7648 hourly","$1.3505 hourly","$5.0640 hourly","$4.6497 hourly","$13.2240 hourly","$12.8097 hourly","0","$0.3060 hourly","current"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","1900 GB                 NVMe SSD","Yes","No","64-bit","12 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2288 hourly","$0.7741 hourly","$0.7530 hourly","$1.0403 hourly","$1.3588 hourly","$0.9041 hourly","$0.8830 hourly","$1.1703 hourly","$1.3538 hourly","$0.8341 hourly","$0.8780 hourly","$1.1653 hourly","unavailable","unavailable","unavailable","unavailable","$2.7030 hourly","$1.7030 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3072 hourly","current"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2320 hourly","$0.7728 hourly","$0.6230 hourly","$1.0328 hourly","$1.3970 hourly","$0.9348 hourly","$0.7530 hourly","$1.1628 hourly","$1.3570 hourly","$0.8328 hourly","$0.7480 hourly","$1.1578 hourly","unavailable","unavailable","unavailable","unavailable","$2.7100 hourly","$1.7000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3080 hourly","current"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3170.0 Mbps","396.25 MB/s","13300.0 IOPS","3170.0 Mbps","396.25 MB/s","13300.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.2320 hourly","$0.7760 hourly","$0.7361 hourly","$0.8013 hourly","$1.3970 hourly","$0.9380 hourly","$0.8661 hourly","$0.9313 hourly","$1.3570 hourly","$0.8360 hourly","$0.8611 hourly","$0.9263 hourly","$2.7040 hourly","$2.2480 hourly","$2.4296 hourly","$2.4759 hourly","unavailable","unavailable","$3.2450 hourly","$2.7890 hourly","$6.5440 hourly","$6.0880 hourly","$14.7040 hourly","$14.2480 hourly","$1.7730 hourly","$1.3170 hourly","$5.0720 hourly","$4.6160 hourly","$13.2320 hourly","$12.7760 hourly","0","$0.2700 hourly","current"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3750 GB                 NVMe SSD","Yes","No","64-bit","Up to 25 Gigabit","5000.0 Mbps","625.0 MB/s","20000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$1.2355 hourly","$0.8018 hourly","$0.4131 hourly","$0.5635 hourly","$1.4005 hourly","$0.9638 hourly","$0.5431 hourly","$0.6935 hourly","$1.3605 hourly","$0.8617 hourly","$0.5381 hourly","$0.6885 hourly","unavailable","unavailable","unavailable","unavailable","$5.4360 hourly","$3.5280 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3089 hourly","current"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","58 units","16 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$1.2480 hourly","$0.8570 hourly","$0.4777 hourly","$0.6583 hourly","$1.3780 hourly","$0.9870 hourly","$0.6077 hourly","$0.7883 hourly","$1.3480 hourly","$0.8900 hourly","$0.5777 hourly","$0.7583 hourly","$1.9840 hourly","$1.5930 hourly","$1.1033 hourly","$1.2171 hourly","$5.4910 hourly","$3.7700 hourly","$2.2660 hourly","$1.8750 hourly","$3.9040 hourly","$3.5130 hourly","$7.9840 hourly","$7.5930 hourly","$1.5180 hourly","$1.1270 hourly","$3.1680 hourly","$2.7770 hourly","$7.2480 hourly","$6.8570 hourly","0","$0.2700 hourly","current"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","950 GB                 NVMe SSD","Yes","No","64-bit","Up to 50 Gigabit","10000.0 Mbps","1250.0 MB/s","43750.0 IOPS","20000.0 Mbps","2500.0 MB/s","87500.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$1.2730 hourly","$0.8020 hourly","$0.3997 hourly","$0.5009 hourly","$1.4380 hourly","$0.9640 hourly","$0.5297 hourly","$0.6309 hourly","$1.3980 hourly","$0.8619 hourly","$0.5247 hourly","$0.6259 hourly","$2.0090 hourly","$1.5380 hourly","$1.2310 hourly","$1.2458 hourly","$11.2020 hourly","$7.0570 hourly","$2.2794 hourly","$1.8084 hourly","$3.9290 hourly","$3.4580 hourly","$8.0090 hourly","$7.5380 hourly","$1.5434 hourly","$1.0724 hourly","$3.1930 hourly","$2.7220 hourly","$7.2730 hourly","$6.8020 hourly","0","$0.3182 hourly","current"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","0 units","24 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259CL","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","6.25 Gigabit","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2","$1.3000 hourly","$0.8190 hourly","$0.8046 hourly","$0.9640 hourly","$1.4300 hourly","$0.9490 hourly","$0.9346 hourly","$1.0940 hourly","unavailable","unavailable","$0.9046 hourly","$1.0640 hourly","unavailable","unavailable","unavailable","unavailable","$5.7200 hourly","$3.6040 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","15 Gigabit","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3056 hourly","$0.8637 hourly","$0.8062 hourly","$1.0462 hourly","$1.4356 hourly","$0.9937 hourly","$0.9362 hourly","$1.1762 hourly","$1.4306 hourly","$0.9236 hourly","$0.9312 hourly","$1.1712 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3264 hourly","current"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","320 GB                 SSD","Yes","No","64-bit","High","N/A","0 MB/s","0 IOPS","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","No","No","Yes","Yes","HVM","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$1.3300 hourly","$0.8360 hourly","$0.4546 hourly","$0.5322 hourly","$1.4600 hourly","$0.9660 hourly","$0.5846 hourly","$0.6622 hourly","$1.4300 hourly","$0.8690 hourly","$0.5546 hourly","$0.6322 hourly","$1.9440 hourly","$1.4900 hourly","$1.0273 hourly","$1.1004 hourly","$2.9260 hourly","$1.8540 hourly","$2.2950 hourly","$1.6170 hourly","$4.5850 hourly","$4.0410 hourly","$8.0660 hourly","$7.5790 hourly","$1.5980 hourly","$1.0240 hourly","$3.2480 hourly","$2.6730 hourly","$7.3280 hourly","$6.7530 hourly","0","$0.2700 hourly","previous"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","600 GB                 (2 * 300 GB NVMe SSD)","Yes","No","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 MB/s","18750.0 IOPS","4750.0 Mbps","593.75 MB/s","18750.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3360 hourly","$0.8420 hourly","$0.5276 hourly","$0.6607 hourly","$1.4660 hourly","$0.9720 hourly","$0.6576 hourly","$0.7907 hourly","unavailable","unavailable","$0.6526 hourly","$0.7857 hourly","$2.0720 hourly","$1.5780 hourly","$1.1189 hourly","$1.2393 hourly","$8.8180 hourly","$5.5640 hourly","$2.3420 hourly","$1.8480 hourly","$3.9920 hourly","$3.4980 hourly","$8.0720 hourly","$7.5780 hourly","$1.6060 hourly","$1.1120 hourly","$3.2560 hourly","$2.7620 hourly","$7.3360 hourly","$6.8420 hourly","0","$0.2700 hourly","current"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","0 units","16 vCPUs","16.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","950 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3360 hourly","$0.8233 hourly","$0.5112 hourly","$0.7169 hourly","$1.4660 hourly","$0.9533 hourly","$0.6412 hourly","$0.8469 hourly","$1.4610 hourly","$0.8833 hourly","$0.6362 hourly","$0.8419 hourly","unavailable","unavailable","unavailable","unavailable","$5.8780 hourly","$3.6230 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.3340 hourly","current"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","1","AWS Inferentia","32 GiB","0","0","0 units","Intel Xeon Scalable (Icelake)","Up to 3.5 GHz","Yes","Yes","Yes","Yes","474 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","5000.0 Mbps","625.0 MB/s","16250.0 IOPS","20000.0 Mbps","2500.0 MB/s","65000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","No","use1-az5, use1-az6","$1.3438 hourly","$0.8268 hourly","$0.3160 hourly","$0.4146 hourly","unavailable","unavailable","$0.4460 hourly","$0.5446 hourly","unavailable","unavailable","$0.4160 hourly","$0.5146 hourly","unavailable","unavailable","unavailable","unavailable","$23.6500 hourly","$14.5520 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","0 units","12 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","Yes","Yes","Yes","Yes","7500 GB                 NVMe SSD","Yes","No","64-bit","Up to 25 Gigabit","3800.0 Mbps","475.0 MB/s","15000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3560 hourly","$0.9240 hourly","$0.4196 hourly","$0.5244 hourly","$1.4860 hourly","$1.0540 hourly","$0.5496 hourly","$0.6544 hourly","$1.4810 hourly","$0.9840 hourly","$0.5446 hourly","$0.6494 hourly","$1.9080 hourly","$1.4760 hourly","$0.8886 hourly","$0.9546 hourly","$11.9330 hourly","$8.1270 hourly","$2.1110 hourly","$1.6780 hourly","$3.3480 hourly","$2.9160 hourly","$6.4080 hourly","$5.9760 hourly","$1.5590 hourly","$1.1260 hourly","$2.7960 hourly","$2.3640 hourly","$5.8560 hourly","$5.4240 hourly","0","$0.2700 hourly","current"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","12.5 Gigabit","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3600 hourly","$0.8996 hourly","$0.6486 hourly","$0.9900 hourly","$1.5250 hourly","$1.0616 hourly","$0.7786 hourly","$1.1200 hourly","$1.4850 hourly","$0.9596 hourly","$0.7736 hourly","$1.1150 hourly","$2.8320 hourly","$2.3716 hourly","$1.9361 hourly","$2.4718 hourly","$5.9840 hourly","$3.9580 hourly","$3.3728 hourly","$2.9124 hourly","$6.6720 hourly","$6.2116 hourly","$14.8320 hourly","$14.3716 hourly","$1.9008 hourly","$1.4404 hourly","$5.2000 hourly","$4.7396 hourly","$13.3600 hourly","$12.8996 hourly","0","$0.3400 hourly","current"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","1","NVIDIA T4G Tensor Core","16 GiB","7.5","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$1.3720 hourly","$0.8644 hourly","$0.9936 hourly","$1.2794 hourly","$1.5370 hourly","$1.0264 hourly","$1.1236 hourly","$1.4094 hourly","$1.4970 hourly","$0.9244 hourly","$1.1186 hourly","$1.4044 hourly","unavailable","unavailable","unavailable","unavailable","$3.0180 hourly","$1.9020 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","3750 GB                 NVMe SSD","Yes","No","64-bit","Up to 25 Gigabit","5000.0 Mbps","625.0 MB/s","20000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3730 hourly","$0.8910 hourly","$0.5048 hourly","$0.6678 hourly","$1.5380 hourly","$1.0530 hourly","$0.6348 hourly","$0.7978 hourly","$1.4980 hourly","$0.9510 hourly","$0.6298 hourly","$0.7928 hourly","$2.1090 hourly","$1.6270 hourly","$1.1149 hourly","$1.2474 hourly","$12.0810 hourly","$7.8390 hourly","$2.3790 hourly","$1.8970 hourly","$4.0290 hourly","$3.5470 hourly","$8.1090 hourly","$7.6270 hourly","$1.6430 hourly","$1.1610 hourly","$3.2930 hourly","$2.8110 hourly","$7.3730 hourly","$6.8910 hourly","0","$0.3432 hourly","current"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3760 hourly","$0.8670 hourly","$0.7616 hourly","$1.0073 hourly","$1.5060 hourly","$0.9970 hourly","$0.8916 hourly","$1.1373 hourly","$1.5010 hourly","$0.9270 hourly","$0.8866 hourly","$1.1323 hourly","$2.8480 hourly","$2.3390 hourly","$2.2500 hourly","$2.4955 hourly","unavailable","unavailable","$3.3890 hourly","$2.8800 hourly","$6.6880 hourly","$6.1790 hourly","$14.8480 hourly","$14.3390 hourly","$1.9170 hourly","$1.4080 hourly","$5.2160 hourly","$4.7070 hourly","$13.3760 hourly","$12.8670 hourly","0","$0.2700 hourly","current"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","1200 GB                 (2 * 600 GB NVMe SSD)","Yes","No","64-bit","10 Gigabit","3170.0 Mbps","396.25 MB/s","13300.0 IOPS","3170.0 Mbps","396.25 MB/s","13300.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.3760 hourly","$0.8670 hourly","$0.7511 hourly","$1.0185 hourly","$1.5410 hourly","$1.0290 hourly","$0.8811 hourly","$1.1485 hourly","$1.5010 hourly","$0.9270 hourly","$0.8761 hourly","$1.1435 hourly","$2.8480 hourly","$2.3390 hourly","$2.2619 hourly","$2.4863 hourly","unavailable","unavailable","$3.3890 hourly","$2.8800 hourly","$6.6880 hourly","$6.1790 hourly","$14.8480 hourly","$14.3390 hourly","$1.9170 hourly","$1.4080 hourly","$5.2160 hourly","$4.7070 hourly","$13.3760 hourly","$12.8670 hourly","0","$0.2700 hourly","current"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","12288 GB                 (6 * 2048 GB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","No","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$1.3800 hourly","$0.8040 hourly","$0.3150 hourly","$0.4589 hourly","$1.5100 hourly","$0.9340 hourly","$0.4450 hourly","$0.5889 hourly","$1.4800 hourly","$0.8410 hourly","$0.4150 hourly","$0.5589 hourly","$1.6010 hourly","$0.8850 hourly","$0.5526 hourly","$0.6066 hourly","$6.0720 hourly","$3.5400 hourly","unavailable","unavailable","unavailable","unavailable","$4.7480 hourly","$4.1730 hourly","unavailable","unavailable","unavailable","unavailable","$4.3800 hourly","$3.7250 hourly","$0.0000 hourly","$0.2700 hourly","current"
