sub_model_name,name,manufacturer,family,model_range,tdp
epyc 7f32,epyc 7f32,amd,rome,epyc,
epyc 7h12,epyc 7h12,amd,rome,epyc,
epyc 7662,epyc 7662,amd,rome,epyc,
epyc 7642,epyc 7642,amd,rome,epyc,
epyc 7552,epyc 7552,amd,rome,epyc,
epyc 7542,epyc 7542,amd,rome,epyc,
epyc 7532,epyc 7532,amd,rome,epyc,
epyc 7502,epyc 7502,amd,rome,epyc,
epyc 7502p,epyc 7502p,amd,rome,epyc,
epyc 7452,epyc 7452,amd,rome,epyc,
epyc 7402,epyc 7402,amd,rome,epyc,
epyc 7402p,epyc 7402p,amd,rome,epyc,
epyc 7352,epyc 7352,amd,rome,epyc,
epyc 7302,epyc 7302,amd,rome,epyc,
epyc 7302p,epyc 7302p,amd,rome,epyc,
epyc 7282,epyc 7282,amd,rome,epyc,
epyc 7272,epyc 7272,amd,rome,epyc,
epyc 7262,epyc 7262,amd,rome,epyc,
epyc 7252,epyc 7252,amd,rome,epyc,
epyc 7232p,epyc 7232p,amd,rome,epyc,
epyc 7763,epyc 7763,amd,milan,epyc,
epyc 7713p,epyc 7713p,amd,milan,epyc,
epyc 7713,epyc 7713,amd,milan,epyc,
epyc 7663,epyc 7663,amd,milan,epyc,
epyc 7643,epyc 7643,amd,milan,epyc,
epyc 75f3,epyc 75f3,amd,milan,epyc,
epyc 7543p,epyc 7543p,amd,milan,epyc,
epyc 7543,epyc 7543,amd,milan,epyc,
epyc 7513,epyc 7513,amd,milan,epyc,
epyc 7453,epyc 7453,amd,milan,epyc,
epyc 74f3,epyc 74f3,amd,milan,epyc,
epyc 7443p,epyc 7443p,amd,milan,epyc,
epyc 7443,epyc 7443,amd,milan,epyc,
epyc 7413,epyc 7413,amd,milan,epyc,
epyc 73f3,epyc 73f3,amd,milan,epyc,
epyc 7343,epyc 7343,amd,milan,epyc,
epyc 7313p,epyc 7313p,amd,milan,epyc,
epyc 7313,epyc 7313,amd,milan,epyc,
epyc 72f3,epyc 72f3,amd,milan,epyc,
