name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
Intel Core i7-4940MX,,Intel,Haswell,Core i7,,,,622.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/haswell_(client)#Octadeca-core,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5500U,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5550U,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5557U,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5600U,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5650U,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5700HQ,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5750HQ,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5775C,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5775R,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5850HQ,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-5950HQ,,Intel,Broadwell,Core i7,,,,456.12,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6500U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6560U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6567U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6600U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6650U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6660U,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6700,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6700HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6700K,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6700T,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6770HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6785R,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6820HK,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6820HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6870HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6920HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-6970HQ,,Intel,Skylake,Core i7,,,,694.0,Max value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)#Extreme_Core_Count_.28XCC.29,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-7700,"Jan 3rd, 2017",Intel,Kaby Lake,Core i7,3.6 GHz,65.0,4.0,126.0,Value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/kaby_lake,https://www.techpowerup.com/cpu-specs/core-i7-7700.c1843,14.0,,,,,Intel
Intel Core i7-7700HQ,"Jan 3rd, 2017",Intel,Kaby Lake-H,Core i7,2.8 GHz,45.0,4.0,126.0,io_die_size () + die_size (126 mm²),https://www.techpowerup.com/cpu-specs/core-i7-7700hq.c3098,14.0,126 mm²,,,,Intel
Intel Core i7-7700K,"Jan 3rd, 2017",Intel,Kaby Lake,Core i7,4.2 GHz,91.0,4.0,126.0,Value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/kaby_lake,https://www.techpowerup.com/cpu-specs/core-i7-7700k.c1842,14.0,,,,,Intel
Intel Core i7-7700T,"Jan 3rd, 2017",Intel,Kaby Lake,Core i7,2.9 GHz,35.0,4.0,126.0,Value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/kaby_lake,https://www.techpowerup.com/cpu-specs/core-i7-7700t.c1852,14.0,,,,,Intel
Intel Core i7-7740X,"Jun 26th, 2017",Intel,Kaby Lake-X,Core i7,4.3 GHz,112.0,4.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i7-7740x.c1866,14.0,,,,,Intel
Intel Core i7-7800X,"Jun 26th, 2017",Intel,Skylake-X,Core i7,3.5 GHz,140.0,6.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i7-7800x.c1905,14.0,,,,,Intel
Intel Core i7-7820HK,"Jan 3rd, 2017",Intel,Kaby Lake-H,Core i7,2.9 GHz,45.0,4.0,126.0,io_die_size () + die_size (126 mm²),https://www.techpowerup.com/cpu-specs/core-i7-7820hk.c3099,14.0,126 mm²,,,,Intel
Intel Core i7-7820HQ,"Jan 3rd, 2017",Intel,Kaby Lake-H,Core i7,2.9 GHz,45.0,4.0,126.0,io_die_size () + die_size (126 mm²),https://www.techpowerup.com/cpu-specs/core-i7-7820hq.c3100,14.0,126 mm²,,,,Intel
Intel Core i7-7820X,"Jun 26th, 2017",Intel,Skylake-X,Core i7,3.6 GHz,140.0,8.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i7-7820x.c1933,14.0,,,,,Intel
Intel Core i7-7920HQ,"Jan 3rd, 2017",Intel,Kaby Lake-H,Core i7,3.1 GHz,45.0,4.0,126.0,io_die_size () + die_size (126 mm²),https://www.techpowerup.com/cpu-specs/core-i7-7920hq.c3101,14.0,126 mm²,,,,Intel
Intel Core i7-8086K,"Jun 5th, 2018",Intel,Coffee Lake,Core i7,4 GHz,95.0,6.0,154.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i5-8500b.c2896,https://www.techpowerup.com/cpu-specs/core-i7-8086k.c2054,14.0,,,,,Intel
Intel Core i7-8550U,"Aug 21st, 2017",Intel,Kaby Lake-R,Core i7,1800 MHz,15.0,4.0,123.0,io_die_size () + die_size (123 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8550u.c1974,14.0,123 mm²,,,,Intel
Intel Core i7-8557U,,Intel,Coffee Lake,Core i7,,,,540.0,Max value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-9700.c2183,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-8559U,"Apr 5th, 2018",Intel,Kaby Lake-R,Core i7,2.7 GHz,28.0,4.0,123.0,io_die_size () + die_size (123 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8559u.c2026,14.0,123 mm²,,,,Intel
Intel Core i7-8565U,"Oct 1st, 2018",Intel,Whiskey Lake-U,Core i7,1800 MHz,28.0,4.0,123.0,io_die_size () + die_size (123 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8565u.c2103,14.0,123 mm²,,,,Intel
Intel Core i7-8569U,,Intel,Coffee Lake,Core i7,,,,540.0,Max value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-9700.c2183,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
Intel Core i7-8650U,"Aug 21st, 2017",Intel,Kaby Lake-R,Core i7,1900 MHz,15.0,4.0,123.0,io_die_size () + die_size (123 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8650u.c1975,14.0,123 mm²,,,,Intel
Intel Core i7-8670,"Jan 1st, 2018",Intel,Coffee Lake,Core i7,3.1 GHz,65.0,6.0,154.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i5-8500b.c2896,https://www.techpowerup.com/cpu-specs/core-i7-8670.c2012,14.0,,,,,Intel
Intel Core i7-8670T,"Sep 1st, 2018",Intel,Coffee Lake,Core i7,2.3 GHz,35.0,6.0,154.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i5-8500b.c2896,https://www.techpowerup.com/cpu-specs/core-i7-8670t.c2086,14.0,,,,,Intel
Intel Core i7-8700,"Jan 1st, 2018",Intel,Coffee Lake,Core i7,3.2 GHz,65.0,6.0,154.0,io_die_size () + die_size (154 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8700.c1949,14.0,154 mm²,,,,Intel
Intel Core i7-8700B,"Apr 3rd, 2018",Intel,Coffee Lake,Core i7,3.2 GHz,65.0,6.0,154.0,io_die_size () + die_size (154 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8700b.c2895,14.0,154 mm²,,,,Intel
Intel Core i7-8700K,"Oct 5th, 2017",Intel,Coffee Lake,Core i7,3.7 GHz,95.0,6.0,154.0,io_die_size () + die_size (154 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8700k.c1947,14.0,154 mm²,,,,Intel
Intel Core i7-8700T,"Apr 2nd, 2018",Intel,Coffee Lake,Core i7,2.4 GHz,35.0,6.0,154.0,io_die_size () + die_size (154 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8700t.c2021,14.0,154 mm²,,,,Intel
Intel Core i7-8705G,"Jan 7th, 2018",Intel,Kaby Lake G,Core i7,3.1 GHz,65.0,4.0,125.0,io_die_size () + die_size (125 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8705g.c1981,14.0,125 mm²,,,,Intel
Intel Core i7-8706G,"Feb 1st, 2018",Intel,Kaby Lake G,Core i7,3.1 GHz,65.0,4.0,125.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-8705g.c1981,https://www.techpowerup.com/cpu-specs/core-i7-8706g.c1995,14.0,,,,,Intel
Intel Core i7-8709G,"Feb 1st, 2018",Intel,Kaby Lake G,Core i7,3.1 GHz,65.0,4.0,125.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-8705g.c1981,https://www.techpowerup.com/cpu-specs/core-i7-8709g.c1979,14.0,,,,,Intel
Intel Core i7-8750H,"Apr 2nd, 2018",Intel,Coffee Lake-H,Core i7,2.2 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8750h.c1992,14.0,149 mm²,,,,Intel
Intel Core i7-8809G,"Feb 1st, 2018",Intel,Kaby Lake G,Core i7,3.1 GHz,65.0,4.0,125.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-8705g.c1981,https://www.techpowerup.com/cpu-specs/core-i7-8809g.c1980,14.0,,,,,Intel
Intel Core i7-8850H,"Apr 2nd, 2018",Intel,Coffee Lake-H,Core i7,2.7 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-8850h.c1991,14.0,149 mm²,,,,Intel
Intel Core i7-9700,"Apr 23rd, 2019",Intel,Coffee Lake,Core i7,3 GHz,65.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700.c2183,14.0,180.3 mm²,,,,Intel
Intel Core i7-9700E,"Apr 23rd, 2019",Intel,Coffee Lake,Core i7,2.6 GHz,65.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700e.c3122,14.0,180.3 mm²,,,,Intel
Intel Core i7-9700F,"Apr 23rd, 2019",Intel,Coffee Lake,Core i7,3 GHz,65.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700f.c2184,14.0,180.3 mm²,,,,Intel
Intel Core i7-9700K,"Oct 19th, 2018",Intel,Coffee Lake,Core i7,3.6 GHz,95.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700k.c2097,14.0,180.3 mm²,,,,Intel
Intel Core i7-9700KF,"Jan 8th, 2019",Intel,Coffee Lake,Core i7,3.6 GHz,95.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700kf.c2125,14.0,180.3 mm²,,,,Intel
Intel Core i7-9700T,"Apr 23rd, 2019",Intel,Coffee Lake,Core i7,2000 MHz,35.0,8.0,540.0,io_die_size () + die_size (180.3 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9700t.c3121,14.0,180.3 mm²,,,,Intel
Intel Core i7-9750H,"Apr 23rd, 2019",Intel,Coffee Lake-HR,Core i7,2.6 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9750h.c2290,14.0,149 mm²,,,,Intel
Intel Core i7-9750HF,"Apr 23rd, 2019",Intel,Coffee Lake-HR,Core i7,2.6 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9750hf.c2291,14.0,149 mm²,,,,Intel
Intel Core i7-9800X,"Oct 19th, 2018",Intel,Skylake-X,Core i7,3.8 GHz,165.0,8.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i7-9800x.c2115,14.0,,,,,Intel
Intel Core i7-9850H,"Apr 23rd, 2019",Intel,Coffee Lake-HR,Core i7,2.6 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9850h.c2292,14.0,149 mm²,,,,Intel
Intel Core i7-9850HE,Jun 2019,Intel,Coffee Lake-HR,Core i7,2.7 GHz,45.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9850he.c2293,14.0,149 mm²,,,,Intel
Intel Core i7-9850HL,Jun 2019,Intel,Coffee Lake-HR,Core i7,1900 MHz,25.0,6.0,149.0,io_die_size () + die_size (149 mm²),https://www.techpowerup.com/cpu-specs/core-i7-9850hl.c2294,14.0,149 mm²,,,,Intel
Intel Core i9-10800F,"Apr 30th, 2020",Intel,Comet Lake,Core i9,2.7 GHz,65.0,10.0,206.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i9-10850k.c2336,https://www.techpowerup.com/cpu-specs/core-i9-10800f.c2216,14.0,,,,,Intel
Intel Core i9-10850K,"Jul 27th, 2020",Intel,Comet Lake,Core i9,3.6 GHz,125.0,10.0,206.0,io_die_size () + die_size (206 mm²),https://www.techpowerup.com/cpu-specs/core-i9-10850k.c2336,14.0,206 mm²,,,,Intel
Intel Core i9-10885H,"Apr 2nd, 2020",Intel,Comet Lake-H,Core i9,2.4 GHz,45.0,8.0,206.0,io_die_size () + die_size (206 mm²),https://www.techpowerup.com/cpu-specs/core-i9-10885h.c2356,14.0,206 mm²,,,,Intel
Intel Core i9-10900,"Apr 30th, 2020",Intel,Comet Lake,Core i9,2.8 GHz,65.0,10.0,206.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i9-10850k.c2336,https://www.techpowerup.com/cpu-specs/core-i9-10900.c2265,14.0,,,,,Intel
Intel Core i9-10900F,"Apr 30th, 2020",Intel,Comet Lake,Core i9,2.8 GHz,65.0,10.0,206.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i9-10850k.c2336,https://www.techpowerup.com/cpu-specs/core-i9-10900f.c2217,14.0,,,,,Intel
Intel Core i9-10900K,"Apr 30th, 2020",Intel,Comet Lake,Core i9,3.7 GHz,125.0,10.0,206.0,io_die_size () + die_size (206 mm²),https://www.techpowerup.com/cpu-specs/core-i9-10900k.c2266,14.0,206 mm²,,,,Intel
Intel Core i9-10900KF,"Apr 30th, 2020",Intel,Comet Lake,Core i9,3.7 GHz,125.0,10.0,206.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i9-10850k.c2336,https://www.techpowerup.com/cpu-specs/core-i9-10900kf.c2218,14.0,,,,,Intel
Intel Core i9-10900X,"Oct 19th, 2019",Intel,Cascade Lake-X,Core i9,3.7 GHz,165.0,10.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i9-10900x.c2240,14.0,,,,,Intel
Intel Core i9-10920X,"Oct 19th, 2019",Intel,Cascade Lake-X,Core i9,3.5 GHz,165.0,12.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i9-10920x.c2241,14.0,,,,,Intel
Intel Core i9-10940X,"Oct 19th, 2019",Intel,Cascade Lake-X,Core i9,3.3 GHz,165.0,14.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i9-10940x.c2239,14.0,,,,,Intel
Intel Core i9-10980HK,"Apr 2nd, 2020",Intel,Comet Lake-H,Core i9,2.4 GHz,45.0,8.0,885.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/core-i7-10875h.c2277,https://www.techpowerup.com/cpu-specs/core-i9-10980hk.c2276,14.0,,,,,Intel
Intel Core i9-10980XE,"Oct 19th, 2019",Intel,Cascade Lake-X,Core i9,3 GHz,165.0,18.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/core-i9-10980xe.c2238,14.0,,,,,Intel
Intel Core i9-11900,"Mar 16th, 2021",Intel,Rocket Lake,Core i9,2.5 GHz,65.0,8.0,276.0,io_die_size () + die_size (276 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900.c2393,14.0,276 mm²,,,,Intel
Intel Core i9-11900F,"Mar 16th, 2021",Intel,Rocket Lake,Core i9,2.5 GHz,65.0,8.0,276.0,io_die_size () + die_size (276 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900f.c2394,14.0,276 mm²,,,,Intel
Intel Core i9-11900H,"May 11th, 2021",Intel,Tiger Lake-H,Core i9,2.1 GHz,35.0,8.0,190.0,io_die_size () + die_size (190 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900h.c2475,10.0,190 mm²,,,,Intel
Intel Core i9-11900K,"Mar 16th, 2021",Intel,Rocket Lake,Core i9,3.5 GHz,125.0,8.0,276.0,io_die_size () + die_size (276 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900k.c2366,14.0,276 mm²,,,,Intel
Intel Core i9-11900KB,May 2021,Intel,Tiger Lake-H,Core i9,3.3 GHz,65.0,8.0,190.0,io_die_size () + die_size (190 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900kb.c2484,10.0,190 mm²,,,,Intel
Intel Core i9-11900KF,"Mar 16th, 2021",Intel,Rocket Lake,Core i9,3.5 GHz,125.0,8.0,276.0,io_die_size () + die_size (276 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900kf.c2392,14.0,276 mm²,,,,Intel
Intel Core i9-11900T,"Mar 16th, 2021",Intel,Rocket Lake,Core i9,1500 MHz,35.0,8.0,276.0,io_die_size () + die_size (276 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11900t.c2395,14.0,276 mm²,,,,Intel
Intel Core i9-11950H,"May 11th, 2021",Intel,Tiger Lake-H,Core i9,2.1 GHz,35.0,8.0,190.0,io_die_size () + die_size (190 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11950h.c2479,10.0,190 mm²,,,,Intel
Intel Core i9-11980HK,"May 11th, 2021",Intel,Tiger Lake-H,Core i9,2.6 GHz,45.0,8.0,190.0,io_die_size () + die_size (190 mm²),https://www.techpowerup.com/cpu-specs/core-i9-11980hk.c2474,10.0,190 mm²,,,,Intel
Intel Core i9-12900,"Jan 4th, 2022",Intel,Alder Lake-S,Core i9,2.4 GHz,65.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900.c2565,10.0,215 mm²,,,,Intel
Intel Core i9-12900E,"Jan 4th, 2022",Intel,Alder Lake-S,Core i9,2.3 GHz,65.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900e.c2567,10.0,215 mm²,,,,Intel
Intel Core i9-12900F,"Jan 4th, 2022",Intel,Alder Lake-S,Core i9,2.4 GHz,65.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900f.c2566,10.0,215 mm²,,,,Intel
Intel Core i9-12900H,"Jan 4th, 2022",Intel,Alder Lake-H,Core i9,2.5 GHz,45.0,14.0,217.0,io_die_size () + die_size (217 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900h.c2539,10.0,217 mm²,,,,Intel
Intel Core i9-12900HK,"Jan 4th, 2022",Intel,Alder Lake-H,Core i9,2.5 GHz,45.0,14.0,217.0,io_die_size () + die_size (217 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900hk.c2540,10.0,217 mm²,,,,Intel
Intel Core i9-12900HX,"May 10th, 2022",Intel,Alder Lake-HX,Core i9,2.3 GHz,55.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900hx.c2787,10.0,215 mm²,,,,Intel
Intel Core i9-12900K,"Nov 4th, 2021",Intel,Alder Lake-S,Core i9,3.2 GHz,125.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900k.c2505,10.0,215 mm²,,,,Intel
Intel Core i9-12900KF,"Nov 4th, 2021",Intel,Alder Lake-S,Core i9,3.2 GHz,125.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900kf.c2506,10.0,215 mm²,,,,Intel
Intel Core i9-12900KS,"Apr 5th, 2022",Intel,Alder Lake-S,Core i9,3.4 GHz,150.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900ks.c2598,10.0,215 mm²,,,,Intel
Intel Core i9-12900T,"Jan 4th, 2022",Intel,Alder Lake-S,Core i9,1400 MHz,35.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900t.c2568,10.0,215 mm²,,,,Intel
Intel Core i9-12900TE,"Jan 4th, 2022",Intel,Alder Lake-S,Core i9,1100 MHz,35.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12900te.c2569,10.0,215 mm²,,,,Intel
Intel Core i9-12950HX,"May 10th, 2022",Intel,Alder Lake-HX,Core i9,2.3 GHz,55.0,16.0,215.0,io_die_size () + die_size (215 mm²),https://www.techpowerup.com/cpu-specs/core-i9-12950hx.c2786,10.0,215 mm²,,,,Intel
Intel Core i9-13900,"Jan 4th, 2023",Intel,Raptor Lake-S,Core i9,2000 MHz,65.0,24.0,257.0,io_die_size () + die_size (257 mm²),https://www.techpowerup.com/cpu-specs/core-i9-13900.c2854,10.0,257 mm²,,,,Intel
Intel Core i9-13900E,"Jan 4th, 2023",Intel,Raptor Lake-S,Core i9,1800 MHz,65.0,24.0,257.0,io_die_size () + die_size (257 mm²),https://www.techpowerup.com/cpu-specs/core-i9-13900e.c3082,10.0,257 mm²,,,,Intel
