name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD EPYC 7313P,"Mar 15th, 2021",AMD,Milan,EPYC,3 GHz,155.0,16.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7313p.c2390,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
AMD EPYC 7343,"Mar 15th, 2021",AMD,Milan,EPYC,3.2 GHz,190.0,16.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7343.c2388,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
AMD EPYC 7351,"Jun 29th, 2017",AMD,Naples,EPYC,2.4 GHz,170.0,16.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7351.c1925,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7351P,"Jun 29th, 2017",AMD,Naples,EPYC,2.4 GHz,170.0,16.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7351p.c1931,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7352,"Aug 7th, 2019",AMD,Rome,EPYC,2.4 GHz,155.0,24.0,860.0,io_die_size (416 mm2) + die_size (6x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7352.c2253,7.0,6x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7371,"Nov 16th, 2018",AMD,Naples,EPYC,3.1 GHz,170.0,16.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7371.c2121,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7373X,"Mar 22nd, 2022",AMD,Milan-X,EPYC,3.05 GHz,240.0,16.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7373x.c2762,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 73F3,"Mar 15th, 2021",AMD,Milan,EPYC,3.5 GHz,240.0,16.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-73f3.c2387,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7401,"Jun 29th, 2017",AMD,Naples,EPYC,2000 MHz,170.0,24.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7401.c1924,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7401P,"Jun 29th, 2017",AMD,Naples,EPYC,2000 MHz,170.0,24.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7401p.c1930,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7402,"Aug 7th, 2019",AMD,Rome,EPYC,2.8 GHz,180.0,24.0,860.0,io_die_size (416 mm2) + die_size (6x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7402.c2252,7.0,6x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7402P,"Aug 7th, 2019",AMD,Rome,EPYC,2.8 GHz,180.0,24.0,860.0,io_die_size (416 mm2) + die_size (6x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7402p.c2261,7.0,6x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7413,"Mar 15th, 2021",AMD,Milan,EPYC,2.65 GHz,180.0,24.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7413.c2386,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
AMD EPYC 7443,"Mar 15th, 2021",AMD,Milan,EPYC,2.85 GHz,200.0,24.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7443.c2384,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
