name,Fab - Particulate Matter,Fab - Eutrophication marine,"Fab - Eutrophication, terrestrial",Fab - Acidification,Fab - Climate change,"Fab - Ecotoxicity, freshwater","Fab - Human toxicity, cancer","Fab - Eutrophication, freshwater","Fab - Human toxicity, non-cancer","Fab - Ionising radiation, human health",Fab - Land use,Fab - Ozone depletion,Fab - Photochemical ozone formation - human health,"Fab - Resource use, fossils","Fab - Resource use, minerals and metals",Fab - Water use,Fab - Total Primary Energy,Fab - Net use of freshwater,EoL - Particulate Matter,EoL - Eutrophication marine,"EoL - Eutrophication, terrestrial",EoL - Acidification,EoL - Climate change,"EoL - Ecotoxicity, freshwater","EoL - Human toxicity, cancer","EoL - Eutrophication, freshwater","EoL - Human toxicity, non-cancer","EoL - Ionising radiation, human health",EoL - Land use,EoL - Ozone depletion,EoL - Photochemical ozone formation - human health,"EoL - Resource use, fossils","EoL - Resource use, minerals and metals",EoL - Water use,EoL - Total Primary Energy,EoL - Net use of freshwater
api_name,fab-pm,fab-epm,fab-ept,fab-ap,fab-gwp,fab-ctue,fab-ctuh_c,fab-epf,fab-ctuh_nc,fab-ir,fab-lu,fab-odp,fab-pocp,fab-adpf,fab-adpe,fab-wu,fab-pe,fab-fw,eol-pm,eol-epm,eol-ept,eol-ap,eol-gwp,eol-ctue,eol-ctuh_c,eol-epf,eol-ctuh_nc,eol-ir,eol-lu,eol-odp,eol-pocp,eol-adpf,eol-adpe,eol-wu,eol-pe,eol-fw
Unit,Disease occurrence,kg N eq.,mol N eq.,mol H+ eq.,kg CO2 eq.,CTUe,CTUh,kg P eq.,CTUh,kBq U235 eq.,No dimension,kg CFC-11 eq.,kg NMVOC eq.,MJ,kg SB eq.,m3 eq.,MJ,m3,Disease occurrence,kg N eq.,mol N eq.,mol H+ eq.,kg CO2 eq.,CTUe,CTUh,kg P eq.,CTUh,kBq U235 eq.,No dimension,kg CFC-11 eq.,kg NMVOC eq.,MJ,kg SB eq.,m3 eq.,MJ,m3
power_supply - HSL-1,5.51E-09,1.20E-04,1.31E-03,9.46E-04,1.04E-01,6.83E+00,1.01E-10,4.97E-07,2.18E-08,1.83E+00,0.00E+00,2.21E-08,4.22E-04,2.08E+00,1.08E-05,7.48E-02,2.08E+00,1.74E-03,1.11E-09,1.61E-05,1.76E-04,2.01E-04,1.81E-02,2.08E-01,4.98E-12,4.81E-09,2.44E-10,5.52E-03,0.00E+00,2.16E-09,6.80E-05,4.46E-01,3.53E-09,3.01E-03,4.47E-01,7.01E-05
power_supply - HSL-2,1.65E-07,4.83E-03,3.72E-02,2.81E-02,4.64E+00,1.07E+02,1.14E-09,9.08E-04,1.93E-07,2.03E+00,6.77E-01,1.88E-06,1.24E-02,5.03E+01,1.49E-04,2.61E+01,5.23E+01,6.07E-01,1.80E-09,2.85E-04,3.95E-04,5.50E-04,4.57E-02,1.43E+02,3.32E-11,2.40E-07,3.19E-09,1.14E-02,6.05E-02,5.65E-09,1.49E-04,8.48E-01,6.07E-09,4.95E+00,8.71E-01,1.31E-01
power_supply - HSL-3,1.76E-07,5.07E-03,3.96E-02,3.00E-02,4.99E+00,1.11E+02,1.17E-09,9.09E-04,1.95E-07,2.03E+00,6.78E-01,2.04E-06,1.32E-02,5.49E+01,1.49E-04,2.63E+01,5.70E+01,6.12E-01,1.80E-09,2.85E-04,3.95E-04,5.50E-04,4.57E-02,1.43E+02,3.33E-11,2.40E-07,3.19E-09,1.14E-02,6.06E-02,5.65E-09,1.49E-04,8.48E-01,6.08E-09,4.96E+00,8.71E-01,1.31E-01
processing - HSL-0,7.84E-09,1.71E-04,1.78E-03,1.42E-03,2.58E-01,3.29E+00,2.42E-11,7.94E-07,1.40E-09,2.15E-03,1.01E-03,1.11E-07,5.60E-04,3.37E+00,7.13E-09,1.31E-01,3.44E+00,3.05E-03,5.92E-13,1.74E-07,1.06E-07,2.44E-07,1.10E-05,6.06E-03,2.02E-14,1.54E-10,1.88E-12,7.92E-07,4.10E-05,9.01E-13,3.84E-08,1.09E-04,3.88E-12,3.30E-03,1.25E-04,8.75E-05
processing - HSL-1,5.27E-08,1.15E-03,1.20E-02,9.55E-03,1.73E+00,2.21E+01,1.62E-10,5.39E-06,9.39E-09,1.45E-02,6.89E-03,7.55E-07,3.76E-03,2.26E+01,4.79E-08,6.81E-01,2.31E+01,1.59E-02,2.37E-12,6.95E-07,4.23E-07,9.79E-07,4.40E-05,2.43E-02,8.08E-14,6.18E-10,7.53E-12,3.17E-06,1.64E-04,3.61E-12,1.54E-07,4.36E-04,1.55E-11,1.32E-02,4.99E-04,3.50E-04
processing - HSL-2,1.07E-07,2.34E-03,2.44E-02,1.95E-02,3.53E+00,4.51E+01,3.31E-10,1.10E-05,1.91E-08,2.96E-02,1.41E-02,1.54E-06,7.66E-03,4.61E+01,9.75E-08,1.35E+00,4.71E+01,3.15E-02,4.14E-12,1.21E-06,7.39E-07,1.71E-06,7.68E-05,4.24E-02,1.41E-13,1.08E-09,1.32E-11,5.54E-06,2.87E-04,6.30E-12,2.68E-07,7.62E-04,2.71E-11,2.31E-02,8.71E-04,6.12E-04
processing - HSL-3,1.93E-07,4.20E-03,4.37E-02,3.49E-02,6.33E+00,8.08E+01,5.93E-10,1.97E-05,3.43E-08,5.30E-02,2.52E-02,2.76E-06,1.37E-02,8.27E+01,1.75E-07,2.40E+00,8.43E+01,5.58E-02,4.82E-12,1.41E-06,8.60E-07,1.99E-06,8.93E-05,4.94E-02,1.64E-13,1.26E-09,1.53E-11,6.45E-06,3.34E-04,7.33E-12,3.12E-07,8.86E-04,3.15E-11,2.69E-02,1.01E-03,7.12E-04
security - HSL-1,1.34E-09,2.91E-05,3.04E-04,2.42E-04,4.39E-02,5.62E-01,4.13E-12,1.35E-07,2.39E-10,3.67E-04,1.72E-04,1.89E-08,9.54E-05,5.75E-01,1.22E-09,2.42E-02,5.87E-01,5.63E-04,1.19E-13,3.48E-08,2.12E-08,4.90E-08,2.20E-06,1.21E-03,4.04E-15,3.09E-11,3.77E-13,1.59E-07,8.21E-06,1.80E-13,7.69E-09,2.18E-05,7.76E-13,6.62E-04,2.49E-05,1.75E-05
sensing - HSL-1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sensing - HSL-2,1.40E-09,3.05E-05,3.19E-04,2.54E-04,4.60E-02,5.90E-01,4.33E-12,1.39E-07,2.51E-10,3.83E-04,1.78E-04,1.95E-08,1.00E-04,6.04E-01,1.28E-09,3.24E-02,6.17E-01,7.55E-04,1.78E-13,5.22E-08,3.18E-08,7.34E-08,3.30E-06,1.82E-03,6.06E-15,4.63E-11,5.65E-13,2.38E-07,1.23E-05,2.71E-13,1.15E-08,3.27E-05,1.16E-12,9.92E-04,3.74E-05,2.63E-05
sensing - HSL-3,2.42E-08,5.28E-04,5.51E-03,4.39E-03,7.96E-01,1.02E+01,7.47E-11,2.44E-06,4.32E-09,6.64E-03,3.12E-03,3.42E-07,1.73E-03,1.04E+01,2.20E-08,4.45E-01,1.06E+01,1.04E-02,1.96E-12,5.74E-07,3.49E-07,8.08E-07,3.63E-05,2.00E-02,6.67E-14,5.10E-10,6.22E-12,2.62E-06,1.35E-04,2.98E-12,1.27E-07,3.60E-04,1.28E-11,1.09E-02,4.12E-04,2.89E-04
user_interface - HSL-1,7.19E-09,1.22E-04,1.19E-03,1.13E-03,1.45E-01,3.18E+00,3.41E-11,2.63E-07,1.27E-09,3.68E+00,0.00E+00,3.12E-08,4.61E-04,2.34E+00,2.97E-05,4.09E-02,2.38E+00,9.52E-04,3.35E-10,1.03E-04,5.46E-05,1.44E-04,5.54E-03,3.60E+00,1.09E-11,9.18E-08,1.10E-09,4.36E-04,2.39E-02,5.02E-10,2.10E-05,6.20E-02,2.05E-09,1.95E+00,7.11E-02,5.15E-02
user_interface - HSL-2,1.66E-08,2.93E-04,2.91E-03,2.66E-03,3.62E-01,7.43E+00,7.58E-11,7.38E-07,3.15E-09,7.55E+00,2.60E-04,9.13E-08,1.09E-03,5.65E+00,5.94E-05,1.21E-01,5.75E+00,2.81E-03,7.17E-10,2.06E-04,1.18E-04,2.92E-04,1.20E-02,7.21E+00,2.29E-11,2.10E-07,2.23E-09,9.41E-04,5.01E-02,1.11E-09,4.43E-05,1.38E-01,7.38E-09,4.21E+00,1.58E-01,1.12E-01
user_interface - HSL-3,3.49E-08,6.94E-04,6.89E-03,6.00E-03,8.23E-01,1.75E+01,3.27E-10,2.94E-06,1.48E-08,1.18E+01,1.11E-02,1.29E-07,2.48E-03,1.40E+01,1.62E-04,4.28E-01,1.43E+01,9.97E-03,1.12E-09,3.03E-04,1.93E-04,4.28E-04,1.94E-02,1.05E+01,3.37E-11,2.67E-07,3.23E-09,1.54E-03,7.03E-02,1.83E-09,6.98E-05,2.21E-01,8.96E-09,5.92E+00,2.49E-01,1.62E-01
