name,source,code_name,frequency,tdp,cores,total_die_size,total_die_size_source,manufacturer
AMD A6-9120C SoC,https://www.techpowerup.com/cpu-specs/a6-9120c-soc.c2143,Stoney Ridge,1600 MHz,6,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD A6-9220C SoC,https://www.techpowerup.com/cpu-specs/a6-9220c-soc.c2142,Stoney Ridge,1800 MHz,6,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD A6-9400,https://www.techpowerup.com/cpu-specs/a6-9400.c2622,Bristol Ridge,3.4 GHz,65,2,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A6-9500,https://www.techpowerup.com/cpu-specs/a6-9500.c1959,Bristol Ridge,3.5 GHz,65,2,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A6-9500E,https://www.techpowerup.com/cpu-specs/a6-9500e.c1960,Bristol Ridge,3 GHz,35,2,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A6-9550,https://www.techpowerup.com/cpu-specs/a6-9550.c1958,Bristol Ridge,3.8 GHz,65,2,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A8 PRO-7600B,https://www.techpowerup.com/cpu-specs/a8-pro-7600b.c2616,Kaveri,3.1 GHz,65,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A8-3500M,https://www.techpowerup.com/cpu-specs/a8-3500m.c894,Llano,1500 MHz,35,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3510MX,https://www.techpowerup.com/cpu-specs/a8-3510mx.c895,Llano,1800 MHz,45,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3520M,https://www.techpowerup.com/cpu-specs/a8-3520m.c896,Llano,1600 MHz,35,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3530MX,https://www.techpowerup.com/cpu-specs/a8-3530mx.c897,Llano,1900 MHz,45,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3550MX,https://www.techpowerup.com/cpu-specs/a8-3550mx.c898,Llano,2000 MHz,45,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3800,https://www.techpowerup.com/cpu-specs/a8-3800.c789,Llano,2.4 GHz,65,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3820,https://www.techpowerup.com/cpu-specs/a8-3820.c880,Llano,2.5 GHz,65,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3850,https://www.techpowerup.com/cpu-specs/a8-3850.c740,Llano,2.9 GHz,100,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-3870K,https://www.techpowerup.com/cpu-specs/a8-3870k.c878,Llano,3 GHz,100,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A8-4500M,https://www.techpowerup.com/cpu-specs/a8-4500m.c1024,Trinity,1900 MHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-4555M,https://www.techpowerup.com/cpu-specs/a8-4555m.c1163,Trinity,1600 MHz,19,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5500,https://www.techpowerup.com/cpu-specs/a8-5500.c1104,Trinity,3.2 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5500B,https://www.techpowerup.com/cpu-specs/a8-5500b.c1488,Trinity,3.2 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5545M,https://www.techpowerup.com/cpu-specs/a8-5545m.c1622,Richland,1700 MHz,25,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5550M,https://www.techpowerup.com/cpu-specs/a8-5550m.c1555,Richland,2.1 GHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5557M,https://www.techpowerup.com/cpu-specs/a8-5557m.c1621,Richland,2.1 GHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-5600K,https://www.techpowerup.com/cpu-specs/a8-5600k.c1101,Trinity,3.6 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-6500,https://www.techpowerup.com/cpu-specs/a8-6500.c1501,Richland,3.5 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-6500B,https://www.techpowerup.com/cpu-specs/a8-6500b.c2639,Richland,3.5 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-6500T,https://www.techpowerup.com/cpu-specs/a8-6500t.c2640,Richland,2.1 GHz,45,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-6600K,https://www.techpowerup.com/cpu-specs/a8-6600k.c1500,Richland,3.9 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A8-7600,https://www.techpowerup.com/cpu-specs/a8-7600.c2615,Kaveri,3.1 GHz,65,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A8-7650K,https://www.techpowerup.com/cpu-specs/a8-7650k.c2617,Kaveri,3.3 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A8-7670K,https://www.techpowerup.com/cpu-specs/a8-7670k.c2618,Godaveri,3.6 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A8-7680,https://www.techpowerup.com/cpu-specs/a8-7680.c2120,Carrizo,3.5 GHz,45,4,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A8-9600,https://www.techpowerup.com/cpu-specs/a8-9600.c2613,Bristol Ridge,3.1 GHz,65,4,250.0,io_die_size () + die_size (250 mm²),AMD
AMD A9-9400 SoC,https://www.techpowerup.com/cpu-specs/a9-9400-soc.c2061,Stoney Ridge,2.4 GHz,10,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD A9-9410 SoC,https://www.techpowerup.com/cpu-specs/a9-9410-soc.c2063,Stoney Ridge,2.9 GHz,25,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD A9-9420 SoC,https://www.techpowerup.com/cpu-specs/a9-9420-soc.c2060,Stoney Ridge,3 GHz,15,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD A9-9425 SoC,https://www.techpowerup.com/cpu-specs/a9-9425-soc.c2062,Stoney Ridge,3.1 GHz,15,2,124.0,io_die_size () + die_size (124 mm²),AMD
AMD Athlon 1000,https://www.techpowerup.com/cpu-specs/athlon-1000.c1230,Thunderbird C,1000 MHz,54,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1000,https://www.techpowerup.com/cpu-specs/athlon-1000.c1231,Thunderbird B,1000 MHz,54,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1100,https://www.techpowerup.com/cpu-specs/athlon-1100.c1229,Thunderbird B,1100 MHz,60,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1133,https://www.techpowerup.com/cpu-specs/athlon-1133.c1228,Thunderbird C,1133 MHz,63,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1200,https://www.techpowerup.com/cpu-specs/athlon-1200.c1226,Thunderbird C,1200 MHz,66,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1200,https://www.techpowerup.com/cpu-specs/athlon-1200.c1227,Thunderbird B,1200 MHz,66,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1300,https://www.techpowerup.com/cpu-specs/athlon-1300.c1225,Thunderbird B,1300 MHz,68,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1333,https://www.techpowerup.com/cpu-specs/athlon-1333.c1224,Thunderbird C,1333 MHz,70,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1400,https://www.techpowerup.com/cpu-specs/athlon-1400.c1223,Thunderbird B,1400 MHz,72,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 1400,https://www.techpowerup.com/cpu-specs/athlon-1400.c1222,Thunderbird C,1400 MHz,72,1,120.0,io_die_size () + die_size (120 mm²),AMD
AMD Athlon 200GE,https://www.techpowerup.com/cpu-specs/athlon-200ge.c2073,Zen,3.2 GHz,35,2,1672.0,io_die_size () + die_size (209.8 mm²),AMD
AMD Athlon 220GE,https://www.techpowerup.com/cpu-specs/athlon-220ge.c2122,Zen,3.4 GHz,35,2,1672.0,io_die_size () + die_size (209.8 mm²),AMD
AMD Athlon 240GE,https://www.techpowerup.com/cpu-specs/athlon-240ge.c2127,Zen,3.5 GHz,35,2,1672.0,io_die_size () + die_size (209.8 mm²),AMD
AMD Athlon 3000G,https://www.techpowerup.com/cpu-specs/athlon-3000g.c2243,Zen,3.5 GHz,35,2,148.0,io_die_size () + die_size (148 mm²),AMD
AMD Athlon 300U,https://www.techpowerup.com/cpu-specs/athlon-300u.c2135,Raven Ridge 2,2.4 GHz,15,2,,io_die_size () + die_size (),AMD
AMD Athlon 5150,https://www.techpowerup.com/cpu-specs/athlon-5150.c2514,Kabini,1600 MHz,25,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD Athlon 5350,https://www.techpowerup.com/cpu-specs/athlon-5350.c2516,Kabini,2.05 GHz,25,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD Athlon 5370,https://www.techpowerup.com/cpu-specs/athlon-5370.c2517,Kabini,2.2 GHz,25,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD Athlon 600,https://www.techpowerup.com/cpu-specs/athlon-600.c1237,Thunderbird,600 MHz,38,1,120.0,io_die_size () + die_size (120 mm²),AMD
