id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
c7i.xlarge,4,8,0,0,0,c7i.48xlarge,
c7i.2xlarge,8,16,0,0,0,c7i.48xlarge,
c7i.4xlarge,16,32,0,0,0,c7i.48xlarge,
c7i.8xlarge,32,64,0,0,0,c7i.48xlarge,
c7i.12xlarge,48,96,0,0,0,c7i.48xlarge,
c7i.16xlarge,64,128,0,0,0,c7i.48xlarge,
c7i.24xlarge,96,192,0,0,0,c7i.48xlarge,
c7i.48xlarge,192,384,0,0,0,c7i.48xlarge,
cc2.8xlarge,32,61,3360,0,0,platform_aws_cc2,
cr1.8xlarge,32,244,240,0,0,platform_aws_cr1,
d2.xlarge,4,30.5,0,6000,0,platform_aws_d2,
d2.2xlarge,8,61,0,12000,0,platform_aws_d2,
d2.4xlarge,16,122,0,24000,0,platform_aws_d2,
d2.8xlarge,36,244,0,48000,0,platform_aws_d2,
d3.xlarge,4,32,0,6000,0,platform_aws_d3,
d3.2xlarge,8,64,0,12000,0,platform_aws_d3,
d3.4xlarge,16,128,0,24000,0,platform_aws_d3,
d3.8xlarge,32,256,0,48000,0,platform_aws_d3,
d3en.xlarge,4,16,0,28000,0,platform_aws_d3en,
d3en.2xlarge,8,32,0,56000,0,platform_aws_d3en,
d3en.4xlarge,16,64,0,112000,0,platform_aws_d3en,
d3en.6xlarge,24,96,0,168000,0,platform_aws_d3en,
d3en.8xlarge,32,128,0,224000,0,platform_aws_d3en,
d3en.12xlarge,48,192,0,336000,0,platform_aws_d3en,
dc2.large,2,15,160,0,0,platform_aws_dc2,
dc2.8xlarge,32,244,5120,0,0,platform_aws_dc2,
dl1.24xlarge,96,768,4000,0,8,platform_aws_dl1,
ds2.xlarge,4,31,0,2000,0,platform_aws_ds2,
ds2.8xlarge,36,244,0,1600,0,platform_aws_ds2,
f1.2xlarge,8,122,470,0,0,platform_aws_f1,https://aws.amazon.com/fr/ec2/instance-types/f1/
f1.4xlarge,16,244,940,0,0,platform_aws_f1,https://aws.amazon.com/fr/ec2/instance-types/f1/
f1.16xlarge,64,976,3760,0,0,platform_aws_f1,https://aws.amazon.com/fr/ec2/instance-types/f1/
g2.2xlarge,8,15,60,0,1,g2.8xlarge,
g2.8xlarge,32,60,240,0,4,g2.8xlarge,https://aws.amazon.com/blogs/aws/new-g2-instance-type-with-4x-more-gpu-power/
g3.4xlarge,16,122,0,0,1,platform_aws_g3,https://aws.amazon.com/fr/ec2/instance-types/g3/
g3.8xlarge,32,244,0,0,2,platform_aws_g3,https://aws.amazon.com/fr/ec2/instance-types/g3/
g3.16xlarge,64,488,0,0,4,platform_aws_g3,https://aws.amazon.com/fr/ec2/instance-types/g3/
g3s.xlarge,4,30.5,0,0,1,platform_aws_g3,https://aws.amazon.com/fr/ec2/instance-types/g3/
g4ad.xlarge,4,16,150,0,1,platform_aws_g4ad,https://aws.amazon.com/fr/ec2/instance-types/g4/
