id,manufacturer,CASE.case_type,year,CPU.units,CPU.core_units,CPU.name,CPU.manufacturer,CPU.model_range,CPU.family,CPU.tdp,CPU.manufacture_date,RAM.capacity,RAM.units,SSD.units,SSD.capacity,HDD.units,HDD.capacity,POWER_SUPPLY.units,GPU.memory,GPU.memory,GPU.units,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.instance_per_server,USAGE.time_workload,USAGE.use_time,USAGE.years_life_time,USAGE.other_consumption_ratio,USAGE.overcommited,Warnings
c5.xlarge.elasticsearch,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,18,50;0;100,8760,35040,0.33;0.2;0.43,0,configuration.ram.capacity not verified
c5a.12xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.44,0,
c5a.16xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.45,0,;usage.instance_per_server is rounded
c5a.24xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.46,0,
c5a.2xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,12,50;0;100,8760,35040,0.33;0.2;0.47,0,
c5a.4xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,6,50;0;100,8760,35040,0.33;0.2;0.48,0,
c5a.8xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,3,50;0;100,8760,35040,0.33;0.2;0.49,0,
c5a.large,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,48,50;0;100,8760,35040,0.33;0.2;0.50,0,
c5a.xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,24,50;0;100,8760,35040,0.33;0.2;0.51,0,
c5ad.12xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,2,900,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.52,0,
