id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
e2bs_v5,2.0,16,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e4bs_v5,4.0,32,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e8bs_v5,8.0,64,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e16bs_v5,16.0,128,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e32bs_v5,32.0,256,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e48bs_v5,48.0,384,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e64bs_v5,64.0,512,0.0,0.0,0,Ebsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec2ads_v5,2.0,16,75.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec4ads_v5,4.0,32,150.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec8ads_v5,8.0,64,300.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec16ads_v5,16.0,128,600.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec20ads_v5,20.0,160,750.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec32ads_v5,32.0,192,1200.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec48ads_v5,48.0,384,1800.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec64ads_v5,64.0,512,2400.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec96ads_v5,96.0,672,2400.0,0.0,0,ECadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec2as_v5,2.0,16,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec4as_v5,4.0,32,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec8as_v5,8.0,64,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec16as_v5,16.0,128,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec20as_v5,20.0,160,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec32as_v5,32.0,192,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
ec48as_v5,48.0,384,0.0,0.0,0,ECasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
