Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F2s,F2s,4 GiB,2,8 GiB,€0.0977 hourly,€0.0743 hourly,€0.0708 hourly,€0.0199 hourly,€0.1766 hourly,€0.1531 hourly,€0.1497 hourly,€0.036 hourly
F2s v2,F2s v2,4 GiB,2,16 GiB,€0.0831 hourly,€0.0616 hourly,€0.0492 hourly,€0.0175 hourly,€0.1586 hourly,€0.1404 hourly,€0.1281 hourly,€0.0333 hourly
F32-8ams v7,F32-8ams v7,256 GiB,32,0 GiB,€3.6151 hourly,€2.4582 hourly,€2.2411 hourly,€0.6681 hourly,€4.2287 hourly,€3.2792 hourly,€3.1014 hourly,€0.8457 hourly
F32ads v7,F32ads v7,128 GiB,32,3520 GiB,€2.8446 hourly,€2.0197 hourly,€1.7634 hourly,€0.5257 hourly,€4.1062 hourly,€3.2812 hourly,€3.025 hourly,€0.8212 hourly
F32alds v7,F32alds v7,64 GiB,32,3520 GiB,€2.3706 hourly,€1.6831 hourly,€1.47 hourly,€0.4381 hourly,€3.6322 hourly,€2.9447 hourly,€2.7316 hourly,€0.7264 hourly
F32als v6,F32als v6,64 GiB,32,0 GiB,€2.0047 hourly,€1.4233 hourly,€1.243 hourly,€0.4083 hourly,€3.2663 hourly,€2.6849 hourly,€2.5046 hourly,€0.6653 hourly
F32als v7,F32als v7,64 GiB,32,0 GiB,€2.0047 hourly,€1.4233 hourly,€1.243 hourly,€0.3705 hourly,€3.2663 hourly,€2.6849 hourly,€2.5046 hourly,€0.6533 hourly
F32amds v7,F32amds v7,256 GiB,32,3520 GiB,€3.6151 hourly,€2.4582 hourly,€2.2411 hourly,€0.6681 hourly,€4.8767 hourly,€3.7198 hourly,€3.5027 hourly,€0.9753 hourly
F32ams v6,F32ams v6,256 GiB,32,0 GiB,€2.9671 hourly,€2.0177 hourly,€1.8398 hourly,€0.6044 hourly,€4.2287 hourly,€3.2792 hourly,€3.1014 hourly,€0.8614 hourly
F32ams v7,F32ams v7,256 GiB,32,0 GiB,€2.9671 hourly,€2.0177 hourly,€1.8398 hourly,€0.5483 hourly,€4.2287 hourly,€3.2792 hourly,€3.1014 hourly,€0.8457 hourly
F32as v6,F32as v6,128 GiB,32,0 GiB,€2.2652 hourly,€1.6083 hourly,€1.4046 hourly,€0.4614 hourly,€3.5268 hourly,€2.8699 hourly,€2.6661 hourly,€0.7184 hourly
F32as v7,F32as v7,128 GiB,32,0 GiB,€2.2652 hourly,€1.6083 hourly,€1.4046 hourly,€0.4186 hourly,€3.5268 hourly,€2.8699 hourly,€2.6661 hourly,€0.7054 hourly
