Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
Standard D4pds v6,D4pds v6,16 GiB,4,220 GiB,€0.1886 hourly,€0.1282 hourly,€0.111 hourly,€0.0348 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4plds v5,D4plds v5,8 GiB,4,150 GiB,€0.1526 hourly,€0.1126 hourly,€0.09 hourly,€0.0609 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4plds v6,D4plds v6,8 GiB,4,220 GiB,€0.1594 hourly,€0.1084 hourly,€0.0942 hourly,€0.0295 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4pls v5,D4pls v5,8 GiB,4,0 GiB,€0.1328 hourly,€0.0989 hourly,€0.0785 hourly,€0.053 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4pls v6,D4pls v6,8 GiB,4,0 GiB,€0.1268 hourly,€0.0863 hourly,€0.075 hourly,€0.0234 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4ps v5,D4ps v5,16 GiB,4,0 GiB,€0.1577 hourly,€0.1122 hourly,€0.093 hourly,€0.063 hourly,unavailable,unavailable,unavailable,unavailable
Standard D4ps v6,D4ps v6,16 GiB,4,0 GiB,€0.144 hourly,€0.0979 hourly,€0.0847 hourly,€0.0266 hourly,unavailable,unavailable,unavailable,unavailable
D4s,D4s,28 GiB,8,56 GiB,€0.5759 hourly,€0.4377 hourly,€0.3682 hourly,€0.1174 hourly,€1.0173 hourly,€0.7531 hourly,€0.6836 hourly,€0.2074 hourly
D4s v3,D4s v3,16 GiB,4,32 GiB,€0.2057 hourly,€0.1563 hourly,€0.131 hourly,€0.0419 hourly,€0.3634 hourly,€0.314 hourly,€0.2887 hourly,€0.0741 hourly
D4s v4,D4s v4,16 GiB,4,0 GiB,€0.1971 hourly,€0.1498 hourly,€0.1163 hourly,€0.0395 hourly,€0.3548 hourly,€0.3075 hourly,€0.274 hourly,€0.0711 hourly
D4s v5,D4s v5,16 GiB,4,0 GiB,€0.1971 hourly,€0.1498 hourly,€0.1123 hourly,€0.0395 hourly,€0.3548 hourly,€0.3075 hourly,€0.27 hourly,€0.0711 hourly
D4s v6,D4s v6,16 GiB,4,0 GiB,€0.2074 hourly,€0.1431 hourly,€0.1284 hourly,€0.0402 hourly,€0.3651 hourly,€0.3008 hourly,€0.2861 hourly,€0.0708 hourly
D4 v2,D4 v2,28 GiB,8,400 GiB,€0.4662 hourly,€0.3543 hourly,€0.2814 hourly,€0.0951 hourly,€0.9136 hourly,€0.6697 hourly,€0.5968 hourly,€0.1863 hourly
D4 v3,D4 v3,16 GiB,4,100 GiB,€0.2057 hourly,€0.1563 hourly,€0.131 hourly,€0.0419 hourly,€0.3634 hourly,€0.314 hourly,€0.2887 hourly,€0.0741 hourly
D4 v4,D4 v4,16 GiB,4,0 GiB,€0.1971 hourly,€0.1498 hourly,€0.1163 hourly,€0.0395 hourly,€0.3548 hourly,€0.3075 hourly,€0.274 hourly,€0.0711 hourly
D4 v5,D4 v5,16 GiB,4,0 GiB,€0.1971 hourly,€0.1498 hourly,€0.1123 hourly,€0.0395 hourly,€0.3548 hourly,€0.3075 hourly,€0.27 hourly,€0.0711 hourly
D5 v2,D5 v2,56 GiB,16,800 GiB,€0.9316 hourly,€0.708 hourly,€0.5628 hourly,€0.19 hourly,€1.8264 hourly,€1.3388 hourly,€1.1936 hourly,€0.3724 hourly
D64ads v5,D64ads v5,256 GiB,64,2400 GiB,€3.4282 hourly,€2.6055 hourly,€2.0227 hourly,€0.7042 hourly,€5.9514 hourly,€5.1286 hourly,€4.5459 hourly,€1.2224 hourly
D64ads v6,D64ads v6,256 GiB,64,2400 GiB,€3.7848 hourly,€2.6872 hourly,€2.233 hourly,€0.76 hourly,€6.308 hourly,€5.2104 hourly,€4.7562 hourly,€1.2666 hourly
D64ads v7,D64ads v7,256 GiB,64,3520 GiB,€3.7848 hourly,€2.6872 hourly,€2.233 hourly,€0.6994 hourly,€6.308 hourly,€5.2104 hourly,€4.7562 hourly,€1.2616 hourly
D64alds v6,D64alds v6,128 GiB,64,2400 GiB,€3.1591 hourly,€2.243 hourly,€1.8641 hourly,€0.6344 hourly,€5.6823 hourly,€4.7662 hourly,€4.3873 hourly,€1.141 hourly
D64alds v7,D64alds v7,128 GiB,64,3520 GiB,€3.1591 hourly,€2.243 hourly,€1.8641 hourly,€0.5838 hourly,€5.6823 hourly,€4.7662 hourly,€4.3873 hourly,€1.1365 hourly
D64als v6,D64als v6,128 GiB,64,0 GiB,€2.6655 hourly,€1.8925 hourly,€1.5728 hourly,€0.4926 hourly,€5.1886 hourly,€4.4157 hourly,€4.096 hourly,€0.9589 hourly
D64als v7,D64als v7,128 GiB,64,0 GiB,€2.6655 hourly,€1.8925 hourly,€1.5728 hourly,€0.4926 hourly,€5.1886 hourly,€4.4157 hourly,€4.096 hourly,€0.9589 hourly
D64as v4,D64as v4,256 GiB,64,512 GiB,€3.154 hourly,€2.397 hourly,€2.0976 hourly,€0.6478 hourly,€5.6772 hourly,€4.9202 hourly,€4.6208 hourly,€1.1661 hourly
D64as v5,D64as v5,256 GiB,64,0 GiB,€2.8523 hourly,€2.1677 hourly,€1.6828 hourly,€0.5859 hourly,€5.3755 hourly,€4.6909 hourly,€4.206 hourly,€1.1041 hourly
D64as v6,D64as v6,256 GiB,64,0 GiB,€3.0117 hourly,€2.1383 hourly,€1.7767 hourly,€0.5566 hourly,€5.5349 hourly,€4.6615 hourly,€4.2999 hourly,€1.0228 hourly
D64as v7,D64as v7,256 GiB,64,0 GiB,€3.0117 hourly,€2.1383 hourly,€1.7767 hourly,€0.5566 hourly,€5.5349 hourly,€4.6615 hourly,€4.2999 hourly,€1.0228 hourly
D64a v4,D64a v4,256 GiB,64,1600 GiB,€3.154 hourly,€2.397 hourly,€2.0976 hourly,€0.6478 hourly,€5.6772 hourly,€4.9202 hourly,€4.6208 hourly,€1.1661 hourly
D64ds v4,D64ds v4,256 GiB,64,2400 GiB,€3.7299 hourly,€2.8347 hourly,€2.2006 hourly,€0.7478 hourly,€6.2531 hourly,€5.3579 hourly,€4.7237 hourly,€1.2537 hourly
D64ds v5,D64ds v5,256 GiB,64,2400 GiB,€3.7299 hourly,€2.8347 hourly,€2.2007 hourly,€0.7478 hourly,€6.2531 hourly,€5.3579 hourly,€4.7238 hourly,€1.2537 hourly
D64ds v6,D64ds v6,256 GiB,64,3520 GiB,€4.0933 hourly,€2.8244 hourly,€2.5377 hourly,€0.7564 hourly,€6.6165 hourly,€5.3476 hourly,€5.0609 hourly,€1.2227 hourly
D64d v4,D64d v4,256 GiB,64,2400 GiB,€3.7299 hourly,€2.8347 hourly,€2.2006 hourly,€0.7478 hourly,€6.2531 hourly,€5.3579 hourly,€4.7237 hourly,€1.2537 hourly
D64d v5,D64d v5,256 GiB,64,2400 GiB,€3.7299 hourly,€2.8347 hourly,€2.2007 hourly,€0.7478 hourly,€6.2531 hourly,€5.3579 hourly,€4.7238 hourly,€1.2537 hourly
D64lds v5,D64lds v5,128 GiB,64,2400 GiB,€3.0443 hourly,€2.2528 hourly,€1.7961 hourly,€0.6104 hourly,€5.5675 hourly,€4.7759 hourly,€4.3193 hourly,€1.1163 hourly
D64lds v6,D64lds v6,128 GiB,64,3520 GiB,€3.4522 hourly,€2.313 hourly,€2.1405 hourly,€0.638 hourly,€5.9754 hourly,€4.8362 hourly,€4.6637 hourly,€1.1043 hourly
D64ls v5,D64ls v5,128 GiB,64,0 GiB,€2.6603 hourly,€1.8888 hourly,€1.5696 hourly,€0.5334 hourly,€5.1835 hourly,€4.412 hourly,€4.0928 hourly,€1.0393 hourly
D64ls v6,D64ls v6,128 GiB,64,0 GiB,€2.794 hourly,€1.872 hourly,€1.732 hourly,€0.542 hourly,€5.3172 hourly,€4.3952 hourly,€4.2552 hourly,€1.0315 hourly
D64nds v6,D64nds v6,256 GiB,64,3520 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D64nlds v6,D64nlds v6,128 GiB,64,3520 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D64nls v6,D64nls v6,128 GiB,64,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D64ns v6,D64ns v6,256 GiB,64,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Standard D64pds v5,D64pds v5,208 GiB,64,2400 GiB,€2.9894 hourly,€2.272 hourly,€1.7637 hourly,€1.1937 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64pds v6,D64pds v6,256 GiB,64,3520 GiB,€3.0117 hourly,€2.048 hourly,€1.7767 hourly,€0.5566 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64plds v5,D64plds v5,128 GiB,64,2400 GiB,€2.4409 hourly,€1.8009 hourly,€1.4402 hourly,€0.9747 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64plds v6,D64plds v6,128 GiB,64,3520 GiB,€2.5557 hourly,€1.7379 hourly,€1.5081 hourly,€0.4723 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64pls v5,D64pls v5,128 GiB,64,0 GiB,€2.1281 hourly,€1.5835 hourly,€1.2556 hourly,€0.8497 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64pls v6,D64pls v6,128 GiB,64,0 GiB,€2.0347 hourly,€1.3836 hourly,€1.2007 hourly,€0.376 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64ps v5,D64ps v5,208 GiB,64,0 GiB,€2.5232 hourly,€1.796 hourly,€1.4887 hourly,€1.0075 hourly,unavailable,unavailable,unavailable,unavailable
Standard D64ps v6,D64ps v6,256 GiB,64,0 GiB,€2.2986 hourly,€1.5631 hourly,€1.356 hourly,€0.4248 hourly,unavailable,unavailable,unavailable,unavailable
D64s v3,D64s v3,256 GiB,64,512 GiB,€3.2911 hourly,€2.5012 hourly,€2.0965 hourly,€0.6711 hourly,€5.8143 hourly,€5.0244 hourly,€4.6196 hourly,€1.1855 hourly
D64s v4,D64s v4,256 GiB,64,0 GiB,€3.154 hourly,€2.397 hourly,€1.8608 hourly,€0.6324 hourly,€5.6772 hourly,€4.9202 hourly,€4.384 hourly,€1.1383 hourly
D64s v5,D64s v5,256 GiB,64,0 GiB,€3.154 hourly,€2.397 hourly,€1.7978 hourly,€0.6324 hourly,€5.6772 hourly,€4.9202 hourly,€4.3209 hourly,€1.1383 hourly
D64s v6,D64s v6,256 GiB,64,0 GiB,€3.3117 hourly,€2.2851 hourly,€2.0534 hourly,€0.6425 hourly,€5.8349 hourly,€4.8082 hourly,€4.5766 hourly,€1.132 hourly
D64 v3,D64 v3,256 GiB,64,1600 GiB,€3.2911 hourly,€2.5012 hourly,€2.0965 hourly,€0.6711 hourly,€5.8143 hourly,€5.0244 hourly,€4.6196 hourly,€1.1855 hourly
D64 v4,D64 v4,256 GiB,64,0 GiB,€3.154 hourly,€2.397 hourly,€1.8608 hourly,€0.6324 hourly,€5.6772 hourly,€4.9202 hourly,€4.384 hourly,€1.1383 hourly
D64 v5,D64 v5,256 GiB,64,0 GiB,€3.154 hourly,€2.397 hourly,€1.7978 hourly,€0.6324 hourly,€5.6772 hourly,€4.9202 hourly,€4.3209 hourly,€1.1383 hourly
D8ads v5,D8ads v5,32 GiB,8,300 GiB,€0.4285 hourly,€0.3257 hourly,€0.2528 hourly,€0.088 hourly,€0.7439 hourly,€0.6411 hourly,€0.5682 hourly,€0.1528 hourly
D8ads v6,D8ads v6,32 GiB,8,300 GiB,€0.4731 hourly,€0.3359 hourly,€0.2791 hourly,€0.095 hourly,€0.7885 hourly,€0.6513 hourly,€0.5945 hourly,€0.1583 hourly
D8ads v7,D8ads v7,32 GiB,8,440 GiB,€0.4731 hourly,€0.3359 hourly,€0.2791 hourly,€0.0874 hourly,€0.7885 hourly,€0.6513 hourly,€0.5945 hourly,€0.1577 hourly
D8alds v6,D8alds v6,16 GiB,8,300 GiB,€0.3951 hourly,€0.2805 hourly,€0.233 hourly,€0.0793 hourly,€0.7105 hourly,€0.5959 hourly,€0.5484 hourly,€0.1427 hourly
D8alds v7,D8alds v7,16 GiB,8,440 GiB,€0.3951 hourly,€0.2805 hourly,€0.233 hourly,€0.073 hourly,€0.7105 hourly,€0.5959 hourly,€0.5484 hourly,€0.1421 hourly
D8als v6,D8als v6,16 GiB,8,0 GiB,€0.3334 hourly,€0.2367 hourly,€0.1966 hourly,€0.0616 hourly,€0.6488 hourly,€0.5521 hourly,€0.512 hourly,€0.1199 hourly
D8als v7,D8als v7,16 GiB,8,0 GiB,€0.3334 hourly,€0.2367 hourly,€0.1966 hourly,€0.0616 hourly,€0.6488 hourly,€0.5521 hourly,€0.512 hourly,€0.1199 hourly
D8as v4,D8as v4,32 GiB,8,64 GiB,€0.3942 hourly,€0.2996 hourly,€0.2622 hourly,€0.081 hourly,€0.7096 hourly,€0.615 hourly,€0.5776 hourly,€0.1458 hourly
D8as v5,D8as v5,32 GiB,8,0 GiB,€0.3565 hourly,€0.271 hourly,€0.2104 hourly,€0.0732 hourly,€0.6719 hourly,€0.5864 hourly,€0.5257 hourly,€0.138 hourly
D8as v6,D8as v6,32 GiB,8,0 GiB,€0.3762 hourly,€0.2671 hourly,€0.2221 hourly,€0.0695 hourly,€0.6916 hourly,€0.5825 hourly,€0.5375 hourly,€0.1278 hourly
D8as v7,D8as v7,32 GiB,8,0 GiB,€0.3762 hourly,€0.2671 hourly,€0.2221 hourly,€0.0695 hourly,€0.6916 hourly,€0.5825 hourly,€0.5375 hourly,€0.1278 hourly
D8a v4,D8a v4,32 GiB,8,200 GiB,€0.3942 hourly,€0.2996 hourly,€0.2622 hourly,€0.081 hourly,€0.7096 hourly,€0.615 hourly,€0.5776 hourly,€0.1458 hourly
D8ds v4,D8ds v4,32 GiB,8,300 GiB,€0.4662 hourly,€0.3543 hourly,€0.2751 hourly,€0.0935 hourly,€0.7816 hourly,€0.6697 hourly,€0.5905 hourly,€0.1567 hourly
D8ds v5,D8ds v5,32 GiB,8,300 GiB,€0.4662 hourly,€0.3543 hourly,€0.2751 hourly,€0.0935 hourly,€0.7816 hourly,€0.6697 hourly,€0.5905 hourly,€0.1567 hourly
D8ds v6,D8ds v6,32 GiB,8,440 GiB,€0.5117 hourly,€0.353 hourly,€0.3172 hourly,€0.0946 hourly,€0.8271 hourly,€0.6684 hourly,€0.6326 hourly,€0.1528 hourly
D8d v4,D8d v4,32 GiB,8,300 GiB,€0.4662 hourly,€0.3543 hourly,€0.2751 hourly,€0.0935 hourly,€0.7816 hourly,€0.6697 hourly,€0.5905 hourly,€0.1567 hourly
D8d v5,D8d v5,32 GiB,8,300 GiB,€0.4662 hourly,€0.3543 hourly,€0.2751 hourly,€0.0935 hourly,€0.7816 hourly,€0.6697 hourly,€0.5905 hourly,€0.1567 hourly
D8lds v5,D8lds v5,16 GiB,8,300 GiB,€0.3805 hourly,€0.2816 hourly,€0.2245 hourly,€0.0763 hourly,€0.6959 hourly,€0.597 hourly,€0.5399 hourly,€0.1395 hourly
D8lds v6,D8lds v6,16 GiB,8,440 GiB,€0.432 hourly,€0.2894 hourly,€0.2676 hourly,€0.0798 hourly,€0.7474 hourly,€0.6048 hourly,€0.583 hourly,€0.1381 hourly
D8ls v5,D8ls v5,16 GiB,8,0 GiB,€0.3325 hourly,€0.2361 hourly,€0.1962 hourly,€0.0667 hourly,€0.6479 hourly,€0.5515 hourly,€0.5116 hourly,€0.1299 hourly
D8ls v6,D8ls v6,16 GiB,8,0 GiB,€0.3488 hourly,€0.2337 hourly,€0.2165 hourly,€0.0677 hourly,€0.6642 hourly,€0.5491 hourly,€0.5319 hourly,€0.1289 hourly
D8nds v6,D8nds v6,32 GiB,8,440 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D8nlds v6,D8nlds v6,16 GiB,8,440 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D8nls v6,D8nls v6,16 GiB,8,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D8ns v6,D8ns v6,32 GiB,8,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Standard D8pds v5,D8pds v5,32 GiB,8,300 GiB,€0.3737 hourly,€0.284 hourly,€0.2204 hourly,€0.1492 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8pds v6,D8pds v6,32 GiB,8,440 GiB,€0.3762 hourly,€0.2558 hourly,€0.2221 hourly,€0.0695 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8plds v5,D8plds v5,16 GiB,8,300 GiB,€0.3051 hourly,€0.2251 hourly,€0.18 hourly,€0.1218 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8plds v6,D8plds v6,16 GiB,8,440 GiB,€0.3197 hourly,€0.2174 hourly,€0.1885 hourly,€0.0591 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8pls v5,D8pls v5,16 GiB,8,0 GiB,€0.2657 hourly,€0.1977 hourly,€0.1569 hourly,€0.1061 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8pls v6,D8pls v6,16 GiB,8,0 GiB,€0.2545 hourly,€0.1731 hourly,€0.1501 hourly,€0.047 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8ps v5,D8ps v5,32 GiB,8,0 GiB,€0.3154 hourly,€0.2245 hourly,€0.1861 hourly,€0.1259 hourly,unavailable,unavailable,unavailable,unavailable
Standard D8ps v6,D8ps v6,32 GiB,8,0 GiB,€0.2871 hourly,€0.1952 hourly,€0.1695 hourly,€0.0531 hourly,unavailable,unavailable,unavailable,unavailable
D8s v3,D8s v3,32 GiB,8,64 GiB,€0.4114 hourly,€0.3127 hourly,€0.262 hourly,€0.0839 hourly,€0.7268 hourly,€0.6281 hourly,€0.5774 hourly,€0.1482 hourly
D8s v4,D8s v4,32 GiB,8,0 GiB,€0.3942 hourly,€0.2996 hourly,€0.2326 hourly,€0.079 hourly,€0.7096 hourly,€0.615 hourly,€0.548 hourly,€0.1423 hourly
D8s v5,D8s v5,32 GiB,8,0 GiB,€0.3942 hourly,€0.2996 hourly,€0.2247 hourly,€0.079 hourly,€0.7096 hourly,€0.615 hourly,€0.5401 hourly,€0.1423 hourly
D8s v6,D8s v6,32 GiB,8,0 GiB,€0.414 hourly,€0.2856 hourly,€0.2566 hourly,€0.0803 hourly,€0.7294 hourly,€0.601 hourly,€0.572 hourly,€0.1415 hourly
D8 v3,D8 v3,32 GiB,8,200 GiB,€0.4114 hourly,€0.3127 hourly,€0.262 hourly,€0.0839 hourly,€0.7268 hourly,€0.6281 hourly,€0.5774 hourly,€0.1482 hourly
D8 v4,D8 v4,32 GiB,8,0 GiB,€0.3942 hourly,€0.2996 hourly,€0.2326 hourly,€0.079 hourly,€0.7096 hourly,€0.615 hourly,€0.548 hourly,€0.1423 hourly
D8 v5,D8 v5,32 GiB,8,0 GiB,€0.3942 hourly,€0.2996 hourly,€0.2247 hourly,€0.079 hourly,€0.7096 hourly,€0.615 hourly,€0.5401 hourly,€0.1423 hourly
D96ads v5,D96ads v5,384 GiB,96,3600 GiB,€5.1424 hourly,€3.9082 hourly,€3.0339 hourly,€1.0562 hourly,€8.9271 hourly,€7.693 hourly,€6.8187 hourly,€1.8336 hourly
D96ads v6,D96ads v6,384 GiB,96,3400 GiB,€5.6772 hourly,€4.0308 hourly,€3.3495 hourly,€1.14 hourly,€9.4619 hourly,€7.8156 hourly,€7.1342 hourly,€1.90 hourly
D96ads v7,D96ads v7,384 GiB,96,5280 GiB,€5.6772 hourly,€4.0308 hourly,€3.3495 hourly,€1.0491 hourly,€9.4619 hourly,€7.8156 hourly,€7.1342 hourly,€1.8924 hourly
D96alds v6,D96alds v6,192 GiB,96,3400 GiB,€4.7395 hourly,€3.3651 hourly,€2.7961 hourly,€0.9517 hourly,€8.5243 hourly,€7.1498 hourly,€6.5809 hourly,€1.7117 hourly
D96alds v7,D96alds v7,192 GiB,96,5280 GiB,€4.7395 hourly,€3.3651 hourly,€2.7961 hourly,€0.8759 hourly,€8.5243 hourly,€7.1498 hourly,€6.5809 hourly,€1.7049 hourly
D96als v6,D96als v6,192 GiB,96,0 GiB,€3.999 hourly,€2.8393 hourly,€2.3593 hourly,€0.739 hourly,€7.7838 hourly,€6.6241 hourly,€6.144 hourly,€1.4384 hourly
D96als v7,D96als v7,192 GiB,96,0 GiB,€3.999 hourly,€2.8393 hourly,€2.3593 hourly,€0.739 hourly,€7.7838 hourly,€6.6241 hourly,€6.144 hourly,€1.4384 hourly
D96as v4,D96as v4,384 GiB,96,768 GiB,€4.731 hourly,€3.5955 hourly,€3.1465 hourly,€0.9717 hourly,€8.5157 hourly,€7.3803 hourly,€6.9312 hourly,€1.7491 hourly
D96as v5,D96as v5,384 GiB,96,0 GiB,€4.2784 hourly,€3.2516 hourly,€2.5243 hourly,€0.8788 hourly,€8.0632 hourly,€7.0364 hourly,€6.3091 hourly,€1.6562 hourly
D96as v6,D96as v6,384 GiB,96,0 GiB,€4.5167 hourly,€3.2069 hourly,€2.6651 hourly,€0.8347 hourly,€8.3015 hourly,€6.9916 hourly,€6.4499 hourly,€1.5341 hourly
D96as v7,D96as v7,384 GiB,96,0 GiB,€4.5167 hourly,€3.2069 hourly,€2.6651 hourly,€0.8347 hourly,€8.3015 hourly,€6.9916 hourly,€6.4499 hourly,€1.5341 hourly
D96a v4,D96a v4,384 GiB,96,2400 GiB,€4.731 hourly,€3.5955 hourly,€3.1465 hourly,€0.9717 hourly,€8.5157 hourly,€7.3803 hourly,€6.9312 hourly,€1.7491 hourly
D96ds v5,D96ds v5,384 GiB,96,3600 GiB,€5.5949 hourly,€4.2521 hourly,€3.3009 hourly,€1.1218 hourly,€9.3797 hourly,€8.0369 hourly,€7.0857 hourly,€1.8806 hourly
D96ds v6,D96ds v6,384 GiB,96,5280 GiB,€6.14 hourly,€4.2366 hourly,€3.8066 hourly,€1.1347 hourly,€9.9247 hourly,€8.0213 hourly,€7.5913 hourly,€1.8341 hourly
D96d v5,D96d v5,384 GiB,96,3600 GiB,€5.5949 hourly,€4.2521 hourly,€3.3009 hourly,€1.1218 hourly,€9.3797 hourly,€8.0369 hourly,€7.0857 hourly,€1.8806 hourly
D96lds v5,D96lds v5,192 GiB,96,3600 GiB,€4.5664 hourly,€3.3791 hourly,€2.6942 hourly,€0.9156 hourly,€8.3512 hourly,€7.1639 hourly,€6.4789 hourly,€1.6744 hourly
D96lds v6,D96lds v6,192 GiB,96,5280 GiB,€5.1783 hourly,€3.4695 hourly,€3.2107 hourly,€0.957 hourly,€8.9631 hourly,€7.2543 hourly,€6.9955 hourly,€1.6564 hourly
D96ls v5,D96ls v5,192 GiB,96,0 GiB,€3.9905 hourly,€2.8332 hourly,€2.3544 hourly,€0.8001 hourly,€7.7752 hourly,€6.618 hourly,€6.1391 hourly,€1.5589 hourly
D96ls v6,D96ls v6,192 GiB,96,0 GiB,€4.1902 hourly,€2.8074 hourly,€2.5981 hourly,€0.8129 hourly,€7.9749 hourly,€6.5922 hourly,€6.3829 hourly,€1.5471 hourly
D96nds v6,D96nds v6,384 GiB,96,5280 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D96nlds v6,D96nlds v6,192 GiB,96,5280 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D96nls v6,D96nls v6,192 GiB,96,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D96ns v6,D96ns v6,384 GiB,96,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Standard D96pds v6,D96pds v6,384 GiB,96,5280 GiB,€4.5167 hourly,€3.0714 hourly,€2.6651 hourly,€0.8347 hourly,unavailable,unavailable,unavailable,unavailable
Standard D96plds v6,D96plds v6,192 GiB,96,5280 GiB,€3.8345 hourly,€2.6074 hourly,€2.2621 hourly,€0.7086 hourly,unavailable,unavailable,unavailable,unavailable
Standard D96pls v6,D96pls v6,192 GiB,96,0 GiB,€3.0528 hourly,€2.0759 hourly,€1.801 hourly,€0.5642 hourly,unavailable,unavailable,unavailable,unavailable
Standard D96ps v6,D96ps v6,384 GiB,96,0 GiB,€3.4471 hourly,€2.344 hourly,€2.0339 hourly,€0.637 hourly,unavailable,unavailable,unavailable,unavailable
D96s v5,D96s v5,384 GiB,96,0 GiB,€4.731 hourly,€3.5955 hourly,€2.6966 hourly,€0.9486 hourly,€8.5157 hourly,€7.3803 hourly,€6.4814 hourly,€1.7074 hourly
D96s v6,D96s v6,384 GiB,96,0 GiB,€4.9675 hourly,€3.4276 hourly,€3.0801 hourly,€0.9637 hourly,€8.7523 hourly,€7.2124 hourly,€6.8649 hourly,€1.6979 hourly
D96 v5,D96 v5,384 GiB,96,0 GiB,€4.731 hourly,€3.5955 hourly,€2.6966 hourly,€0.9486 hourly,€8.5157 hourly,€7.3803 hourly,€6.4814 hourly,€1.7074 hourly
DC16ads v5,DC16ads v5,64 GiB,16,600 GiB,€0.8571 hourly,€0.7716 hourly,€0.6856 hourly,€0.2022 hourly,€1.4879 hourly,€1.4024 hourly,€1.3164 hourly,€0.351 hourly
DC16ads v6,DC16ads v6,64 GiB,16,300 GiB,€0.9462 hourly,€0.6718 hourly,€0.5583 hourly,€0.1749 hourly,€1.577 hourly,€1.3026 hourly,€1.1891 hourly,€0.2914 hourly
DC16as v5,DC16as v5,64 GiB,16,0 GiB,€0.7131 hourly,€0.6451 hourly,€0.5705 hourly,€0.1682 hourly,€1.3439 hourly,€1.2759 hourly,€1.2013 hourly,€0.317 hourly
DC16as v6,DC16as v6,64 GiB,16,0 GiB,€0.7525 hourly,€0.5343 hourly,€0.4442 hourly,€0.1391 hourly,€1.3833 hourly,€1.1651 hourly,€1.075 hourly,€0.2556 hourly
DC16ds v3,DC16ds v3,128 GiB,16,1200 GiB,€1.865 hourly,€1.6492 hourly,€1.4919 hourly,€0.3446 hourly,€2.4958 hourly,€2.28 hourly,€2.1227 hourly,€0.4612 hourly
Standard DC16es v5,DC16es v5,64 GiB,16,0 GiB,€0.7885 hourly,unavailable,unavailable,€0.1457 hourly,unavailable,unavailable,unavailable,unavailable
DC16s v3,DC16s v3,128 GiB,16,0 GiB,€1.577 hourly,€1.3958 hourly,€1.2616 hourly,€0.2914 hourly,€2.2078 hourly,€2.0266 hourly,€1.8924 hourly,€0.408 hourly
DC1ds v3,DC1ds v3,8 GiB,1,75 GiB,€0.1166 hourly,€0.1031 hourly,€0.0932 hourly,€0.0215 hourly,€0.156 hourly,€0.1425 hourly,€0.1327 hourly,€0.0288 hourly
DC1s v2,DC1s v2,4 GiB,1,50 GiB,€0.0986 hourly,€0.082 hourly,unavailable,€0.0182 hourly,€0.138 hourly,€0.1215 hourly,unavailable,€0.0255 hourly
DC1s v3,DC1s v3,8 GiB,1,0 GiB,€0.0986 hourly,€0.0872 hourly,€0.0789 hourly,€0.0182 hourly,€0.138 hourly,€0.1267 hourly,€0.1183 hourly,€0.0255 hourly
DC24ds v3,DC24ds v3,192 GiB,24,1800 GiB,€2.7974 hourly,€2.4738 hourly,€2.2379 hourly,€0.517 hourly,€3.7436 hourly,€3.42 hourly,€3.1841 hourly,€0.6918 hourly
DC24s v3,DC24s v3,192 GiB,24,0 GiB,€2.3655 hourly,€2.0937 hourly,€1.8924 hourly,€0.4371 hourly,€3.3117 hourly,€3.0399 hourly,€2.8386 hourly,€0.612 hourly
