Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M8G Eight Extra Large,m8g.8xlarge,m8g,"30.895,188",255.0 fps,128 GiB,0 units,32 vCPUs,EBS only,15 Gigabit,240,€1.4747 hourly,€0.9755 hourly,€0.4628 hourly,unavailable,unavailable
M8GD 12xlarge Extra Large,m8gd.12xlarge,m8gd,N/A,N/A,192 GiB,0 units,48 vCPUs,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,240,€2.855 hourly,unavailable,€0.6837 hourly,unavailable,unavailable
M8GD Quadruple Extra Large,m8gd.4xlarge,m8gd,N/A,N/A,64 GiB,0 units,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,240,€0.9517 hourly,unavailable,€0.3476 hourly,unavailable,unavailable
M8GD Eight Extra Large,m8gd.8xlarge,m8gd,N/A,N/A,128 GiB,0 units,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,240,€1.9034 hourly,unavailable,€0.6106 hourly,unavailable,unavailable
MAC-M4 Metal,mac-m4.metal,mac-m4,N/A,N/A,24 GiB,0 units,10 vCPUs,1900 GB NVMe SSD,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC-M4PRO Metal,mac-m4pro.metal,mac-m4pro,N/A,N/A,48 GiB,0 units,14 vCPUs,1900 GB NVMe SSD,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC1 Metal,mac1.metal,mac1,N/A,N/A,32 GiB,0 units,12 vCPUs,EBS only,25 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2-M1ULTRA Metal,mac2-m1ultra.metal,mac2-m1ultra,N/A,N/A,128 GiB,0 units,20 vCPUs,EBS only,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2-M2 Metal,mac2-m2.metal,mac2-m2,N/A,N/A,24 GiB,0 units,8 vCPUs,EBS only,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2-M2PRO Metal,mac2-m2pro.metal,mac2-m2pro,N/A,N/A,32 GiB,0 units,12 vCPUs,EBS only,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2 Metal,mac2.metal,mac2,N/A,N/A,16 GiB,0 units,8 vCPUs,EBS only,10 Gigabit,240,unavailable,unavailable,unavailable,unavailable,unavailable
